title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,hc_decoration_options,char_flat_балкон/лоджия,char_building_парковка
"Продается 1-комн. квартира, 58 м²",ЖК «GloraX Premium Василеостровский (Глоракс Премиум Василеостровский)»,58 м²,"15,9 м²","23,3 м²",18,19,2024,Сдан,Предчистовая,Новостройка,58 м²,"15,9 м²","23,3 м²",3 м,1 совмещенный,Во двор,Предчистовая,,Монолитный,,р-н Василеостровский,10,3.0,"Приморская, Горный институт, Василеостровская","8 мин., 10 мин., 14 мин.",GloraX,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,True,"1233 просмотра, 3 за сегодня",,,Подземная
"Продается 1-комн. квартира, 35,32 м²",ЖК «Город-спутник Южный»,"35,32 м²",,,2,10,2027,Не сдан,Чистовая,Новостройка,"35,32 м²",,,"2,7 м",,,Чистовая,3 пассажирских,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Московская, Звездная, Купчино","30 мин., 28 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"946 просмотров, 66 за сегодня",,,
"Продается 2-комн. квартира, 50,74 м²",ЖК «Setl Лофт»,"50,74 м²","22,3 м²","16,3 м²",5,12,2027,Не сдан,Чистовая,Новостройка,"50,74 м²","22,3 м²","16,3 м²","2,75 м",,,Чистовая,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Звездная, Купчино, Московская","6 мин., 8 мин., 10 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,True,"122 просмотра, 10 за сегодня",,1 лоджия,
"Продается 3-комн. квартира, 81,8 м²",ЖК «Pulse Premier (Пульс Премьер)»,"81,8 м²","42,5 м²","18,1 м²",17,23,2024,Сдан,Чистовая,Новостройка,"81,8 м²","42,5 м²","18,1 м²","2,65 м",,,Чистовая,"12 пассажирских, 8 грузовых",Монолитно-кирпичный,,р-н Невский,5,3.0,"Проспект Большевиков, Новочеркасская, Улица Дыбенко","7 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"158 просмотров, 8 за сегодня",,1 лоджия,
"Продается 2-комн. квартира, 59,33 м²",ЖК «Setl Ривьера»,"59,33 м²","23,5 м²","16,1 м²",5,12,2028,Не сдан,Чистовая,Новостройка,"59,33 м²","23,5 м²","16,1 м²","2,77 м",,,Чистовая,8 пассажирских,Монолитно-кирпичный,,р-н Невский,,3.0,"Проспект Большевиков, Новочеркасская, Ломоносовская","7 мин., 7 мин., 7 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"118 просмотров, 22 за сегодня",,1 лоджия,
"Продается 1-комн. квартира, 38,83 м²",ЖК «ALPEN»,"38,83 м²","27,2 м²","5,8 м²",10,11,2026,Не сдан,Без отделки,Новостройка,"38,83 м²","27,2 м²","5,8 м²",3 м,,,Без отделки,2 грузовых,Монолитно-кирпичный,,р-н Красногвардейский,11К,3.0,"Новочеркасская, Ладожская, Площадь Александра Невского","18 мин., 24 мин., 7 мин.",Холдинг AAG,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"83 просмотра, 4 за сегодня","Черновая, Без отделки",,Подземная
"Продается 3-комн. квартира, 100,3 м²",ЖК «Руднева 15»,"100,3 м²","42,4 м²","24,2 м²",7,12,2024,Сдан,Чистовая,Новостройка,"100,3 м²","42,4 м²","24,2 м²","2,63 м",,На улицу и двор,Чистовая,,Монолитный,,р-н Выборгский,15,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 7 мин., 7 мин.",,,,,,,,False,"670 просмотров, 30 за сегодня",,,
"Продается 3-комн. квартира, 78,15 м²",ЖК «Астра Континенталь»,"78,15 м²","40,6 м²","18,4 м²",8,11,2028,Не сдан,Чистовая,Новостройка,"78,15 м²","40,6 м²","18,4 м²","2,77 м",,,Чистовая,"23 пассажирских, 23 грузовых",Монолитно-кирпичный,,р-н Невский,,3.0,"Елизаровская, Площадь Александра Невского, Обводный канал","16 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"153 просмотра, 6 за сегодня",,1 лоджия,Подземная
"Продается 3-комн. квартира, 76,97 м²",ЖК «Парадный ансамбль»,"76,97 м²",41 м²,"18,1 м²",2,5,2028,Не сдан,Чистовая,Новостройка,"76,97 м²",41 м²,"18,1 м²","2,77 м",,,Чистовая,"9 пассажирских, 9 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Проспект Ветеранов, Юго-Западная, Ленинский проспект","23 мин., 24 мин., 25 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"47 просмотров, 7 за сегодня",,2 лоджии,
"Продается 1-комн. квартира, 36,65 м²",ЖК «Setl Лофт»,"36,65 м²","12,3 м²",17 м²,4,12,2027,Не сдан,Чистовая,Новостройка,"36,65 м²","12,3 м²",17 м²,"2,75 м",,,Чистовая,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Звездная, Купчино, Московская","6 мин., 8 мин., 10 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,True,"67 просмотров, 7 за сегодня",,1 балкон,
