title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,hc_decoration_options,char_flat_балкон/лоджия,char_building_парковка
"Продается студия, 25,15 м²",ЖК «Pulse Premier (Пульс Премьер)»,"25,15 м²",18 м²,,6,15,2026,Не сдан,Чистовая,Новостройка,"25,15 м²",18 м²,,"2,65 м",,,Чистовая,18 пассажирских,Монолитно-кирпичный,,р-н Невский,,3.0,"Проспект Большевиков, Новочеркасская, Улица Дыбенко","8 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"30 просмотров, нет за сегодня",,1 лоджия,
"Продается 4-комн. квартира, 127,55 м²",ЖК «Северный ветер»,"127,55 м²","54,8 м²",32 м²,9,10,2028,Не сдан,Предчистовая,Новостройка,"127,55 м²","54,8 м²",32 м²,"3,1 м",2 совмещенных,На улицу и двор,Предчистовая,"13 пассажирских, 2 грузовых",Монолитный,,р-н Василеостровский,,3.0,"Горный институт, Приморская, Василеостровская","10 мин., 7 мин., 11 мин.",Брусника,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Входная группа",,True,"1620 просмотров, 4 за сегодня",,1 балкон,
"Продается 3-комн. квартира, 57,3 м²",ЖК «Цветной Город»,"57,3 м²","32,2 м²","9,8 м²",11,23,2026,Не сдан,Чистовая,Новостройка,"57,3 м²","32,2 м²","9,8 м²","2,55 м",1 раздельный,На улицу и двор,Чистовая,3 грузовых,Монолитный,,р-н Красногвардейский,2,3.0,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"329 просмотров, 6 за сегодня","Чистовая, Чистовая с мебелью","1 лоджия, 1 балкон",
"Продается 3-комн. квартира, 91,58 м²",ЖК «ALPEN»,"91,58 м²","64,1 м²","13,7 м²",3,11,2026,Не сдан,Без отделки,Новостройка,"91,58 м²","64,1 м²","13,7 м²",3 м,,,Без отделки,2 грузовых,Монолитно-кирпичный,,р-н Красногвардейский,11К,3.0,"Новочеркасская, Ладожская, Площадь Александра Невского","18 мин., 24 мин., 7 мин.",,,,,,,,True,"535 просмотров, 4 за сегодня",,,Подземная
"Продается студия, 28,47 м²",ЖК «Дом на Курской»,"28,47 м²","15,1 м²",,2,10,2028,Не сдан,Предчистовая,Новостройка,"28,47 м²","15,1 м²",,"2,73 м",,,Предчистовая,8 пассажирских,Монолитно-кирпичный,,р-н Фрунзенский,27,3.0,"Обводный канал, Лиговский проспект, Звенигородская","8 мин., 16 мин., 24 мин.",,,,,,,,True,"1450 просмотров, 5 за сегодня",,,
"Продается 2-комн. квартира, 59,58 м²",ЖК «Город-спутник Южный»,"59,58 м²",,"21,5 м²",4,9,2027,Не сдан,Чистовая,Новостройка,"59,58 м²",,"21,5 м²",3 м,"1 совмещенный, 1 раздельный",,Чистовая,2 пассажирских,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Московская, Звездная, Купчино","30 мин., 28 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"671 просмотр, 49 за сегодня",,1 балкон,
"Продается 1-комн. квартира, 50,7 м²",ЖК «Imperial Club»,"50,7 м²","15,7 м²","17,8 м²",2,7,2026,Не сдан,Черновая,Новостройка,"50,7 м²","15,7 м²","17,8 м²",3 м,,,Черновая,49 грузовых,Монолитно-кирпичный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Спортивная","9 мин., 4 мин., 6 мин.",Setl Group,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"47 просмотров, нет за сегодня","Чистовая, Черновая",1 лоджия,Подземная
"Продается студия, 22,91 м²",,"22,91 м²",10 м²,,3,5,2027,Не сдан,Чистовая,Новостройка,"22,91 м²",10 м²,,,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",,,,,,,,True,"22 просмотра, 1 за сегодня",,,
"Продается 2-комн. квартира, 52,55 м²",ЖК «Univer City. Город возможностей»,"52,55 м²",22 м²,"15,5 м²",1,4,2028,Не сдан,Чистовая,Новостройка,"52,55 м²",22 м²,"15,5 м²","2,76 м",,,Чистовая,4 пассажирских,Монолитный,Есть,р-н Пушкинский,,3.0,"Купчино, Шушары, Звездная","17 мин., 17 мин., 18 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"398 просмотров, 7 за сегодня","Чистовая с мебелью, Чистовая",1 лоджия,
"Продается студия, 26,2 м²",ЖК «ID Petrogradskaya (Айди Петроградская)»,"26,2 м²","17,9 м²",,2,6,2029,Не сдан,Без отделки,Новостройка,"26,2 м²","17,9 м²",,3 м,,,Без отделки,6 пассажирских,Монолитно-кирпичный,,р-н Петроградский,38,3.0,"Петроградская, Чкаловская, Черная речка","16 мин., 21 мин., 4 мин.",,,,,,,,False,"50 просмотров, 1 за сегодня",Без отделки,,Подземная
"Продается 3-комн. квартира, 93,82 м²",ЖК «Титул в Московском»,"93,82 м²","47,6 м²","23,6 м²",3,12,2026,Не сдан,Чистовая,Новостройка,"93,82 м²","47,6 м²","23,6 м²","2,77 м",,,Чистовая,6 грузовых,Монолитно-кирпичный,,р-н Московский,80к1,3.0,"Московская, Ленинский проспект, Звездная","7 мин., 4 мин., 6 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"116 просмотров, 3 за сегодня",,2 балкона,
"Продается студия, 21,65 м²",ЖК «Setl Лофт»,"21,65 м²",15 м²,,9,12,2027,Не сдан,Чистовая,Новостройка,"21,65 м²",15 м²,,"2,75 м",,,Чистовая,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Звездная, Купчино, Московская","6 мин., 8 мин., 10 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,True,"274 просмотра, 2 за сегодня",,1 балкон,
"Продается студия, 24,1 м²",ЖК «Neva Haus (Нева Хаус)»,"24,1 м²","11,2 м²",,8,9,2024,Сдан,Без отделки,Новостройка,"24,1 м²","11,2 м²",,3 м,1 совмещенный,Во двор,Без отделки,1 пассажирский,Монолитный,,р-н Петроградский,9к2,3.0,"Крестовский остров, Василеостровская, Спортивная","25 мин., 5 мин., 6 мин.",ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"262 просмотра, 1 за сегодня",Без отделки,,Подземная
"Продается 3-комн. квартира, 83,35 м²",ЖК «Setl Ривьера»,"83,35 м²","40,4 м²","17,9 м²",7,17,2028,Не сдан,Чистовая,Новостройка,"83,35 м²","40,4 м²","17,9 м²","2,77 м",,,Чистовая,26 пассажирских,Монолитно-кирпичный,,р-н Невский,,3.0,"Проспект Большевиков, Новочеркасская, Ломоносовская","7 мин., 6 мин., 7 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"28 просмотров, 4 за сегодня",,1 лоджия,
"Продается 3-комн. квартира, 101,9 м²",ЖК «Лермонтовский 54»,"101,9 м²","35,4 м²","25,5 м²",9,9,2025,Не сдан,Без отделки,Новостройка,"101,9 м²","35,4 м²","25,5 м²",3 м,2 совмещенных,На улицу,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Адмиралтейский,169,3.0,"Балтийская, Фрунзенская, Технологический институт","4 мин., 17 мин., 23 мин.",ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"583 просмотра, 2 за сегодня","Предчистовая, Без отделки",1 балкон,Открытая
"Продается студия, 24,13 м²",ЖК «Аристократ»,"24,13 м²","18,1 м²",,5,7,2029,Не сдан,Чистовая,Новостройка,"24,13 м²","18,1 м²",,3 м,,,Чистовая,"4 пассажирских, 2 грузовых",Монолитный,,р-н Василеостровский,1к1,3.0,"Горный институт, Василеостровская, Спортивная","12 мин., 5 мин., 7 мин.",Setl Group,Премиум,Кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"129 просмотров, нет за сегодня","Чистовая, Черновая",1 лоджия,
"Продается 1-комн. квартира, 34,8 м²",ЖК «Нева Резиденс»,"34,8 м²",11 м²,"15,2 м²",7,8,2024,Сдан,Без отделки,Новостройка,"34,8 м²",11 м²,"15,2 м²","3,15 м",1 совмещенный,Во двор,Без отделки,1 пассажирский,Монолитный,,р-н Петроградский,15,3.0,"Спортивная, Василеостровская, Чкаловская","4 мин., 4 мин., 5 мин.",ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"184 просмотра, 2 за сегодня",Без отделки,1 балкон,Подземная
"Продается 2-комн. квартира, 94,3 м²",ЖК «Северная Корона»,"94,3 м²","35,6 м²","20,7 м²",2,3,2023,Сдан,Без отделки,Новостройка,"94,3 м²","35,6 м²","20,7 м²",3 м,"2 совмещенных, 1 раздельный",На улицу и двор,Без отделки,1 грузовой,Монолитный,Есть,р-н Петроградский,31к1,3.0,"Петроградская, Чкаловская, Горьковская","6 мин., 17 мин., 22 мин.",ГК ПСК,Бизнес,Монолитный,Подземная,Жилой комплекс,Архитектура,,True,"9 просмотров, нет за сегодня",Без отделки,,
"Продается 3-комн. квартира, 65,19 м²",ЖК «Город-спутник Южный»,"65,19 м²",,,5,9,2027,Не сдан,Чистовая,Новостройка,"65,19 м²",,,3 м,,,Чистовая,2 пассажирских,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Московская, Звездная, Купчино","30 мин., 28 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"56 просмотров, 1 за сегодня",,,
"Продается 2-комн. квартира, 54,1 м²",ЖК «Шкиперский 19»,"54,1 м²","18,9 м²","17,7 м²",2,12,2027,Не сдан,Без отделки,Новостройка,"54,1 м²","18,9 м²","17,7 м²","2,82 м",2 совмещенных,На улицу,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,к2,3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"28 просмотров, 8 за сегодня","Предчистовая, Без отделки",,Открытая
"Продается 3-комн. квартира, 77,1 м²",ЖК «Северная Корона»,"77,1 м²","41,5 м²","18,3 м²",4,8,2023,Сдан,Без отделки,Новостройка,"77,1 м²","41,5 м²","18,3 м²",3 м,"1 совмещенный, 1 раздельный",На улицу и двор,Без отделки,1 грузовой,Монолитный,,р-н Петроградский,31к1,3.0,"Петроградская, Чкаловская, Горьковская","8 мин., 19 мин., 24 мин.",ГК ПСК,Бизнес,Монолитный,Подземная,Жилой комплекс,Архитектура,,True,"836 просмотров, нет за сегодня",Без отделки,,
"Продается 2-комн. квартира, 66,5 м²",ЖК «Svetlana Park (Светлана Парк)»,"66,5 м²","31,1 м²","12,2 м²",5,10,2023,Сдан,Черновая,Новостройка,"66,5 м²","31,1 м²","12,2 м²",,,,Черновая,,Монолитно-кирпичный,,р-н Выборгский,5к1,3.0,"Удельная, Площадь Мужества, Политехническая","22 мин., 6 мин., 6 мин.",Setl Group,Бизнес,"Монолитно-кирпичный, монолитный","Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"349 просмотров, 1 за сегодня",Черновая,,Подземная
"Продается 1-комн. квартира, 65,3 м²",ЖК «Северная Корона»,"65,3 м²","22,6 м²","22,3 м²",2,8,2023,Сдан,Без отделки,Новостройка,"65,3 м²","22,6 м²","22,3 м²",3 м,2 совмещенных,На улицу и двор,Без отделки,1 грузовой,Монолитный,,р-н Петроградский,31к1,3.0,"Петроградская, Чкаловская, Горьковская","8 мин., 19 мин., 24 мин.",ГК ПСК,Бизнес,Монолитный,Подземная,Жилой комплекс,Архитектура,,True,"1003 просмотра, 1 за сегодня",Без отделки,,
"Продается 2-комн. квартира, 58,94 м²",ЖК «Respect (Респект)»,"58,94 м²","24,4 м²","18,9 м²",4,13,2027,Не сдан,Предчистовая,Новостройка,"58,94 м²","24,4 м²","18,9 м²","2,7 м","1 совмещенный, 1 раздельный",На улицу и двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Калининский,87,3.0,"Выборгская, Лесная, Площадь Мужества","7 мин., 17 мин., 7 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Архитектура,,False,"24 просмотра, 9 за сегодня","Чистовая, Предчистовая",1 лоджия,
"Продается 4-комн. квартира, 99,85 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"99,85 м²","54,8 м²",22 м²,4,5,2027,Не сдан,Чистовая,Новостройка,"99,85 м²","54,8 м²",22 м²,,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"217 просмотров, 6 за сегодня",,,
"Продается 2-комн. квартира, 69,88 м²",ЖК «ALPEN»,"69,88 м²","48,9 м²","10,5 м²",10,11,2026,Не сдан,Без отделки,Новостройка,"69,88 м²","48,9 м²","10,5 м²",3 м,,,Без отделки,2 грузовых,Монолитно-кирпичный,,р-н Красногвардейский,11К,3.0,"Новочеркасская, Ладожская, Площадь Александра Невского","18 мин., 24 мин., 7 мин.",Холдинг AAG,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"233 просмотра, 2 за сегодня","Черновая, Без отделки",,Подземная
"Продается 2-комн. квартира, 51,6 м²",ЖК «Астра Континенталь»,"51,6 м²","23,1 м²",16 м²,2,11,2028,Не сдан,Чистовая,Новостройка,"51,6 м²","23,1 м²",16 м²,"2,77 м",,,Чистовая,"23 пассажирских, 23 грузовых",Монолитно-кирпичный,,р-н Невский,,3.0,"Елизаровская, Площадь Александра Невского, Обводный канал","16 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"58 просмотров, нет за сегодня",,1 лоджия,Подземная
"Продается 2-комн. квартира, 53,74 м²",ЖК «Титул в Московском»,"53,74 м²","25,5 м²","17,3 м²",4,12,2026,Не сдан,Чистовая,Новостройка,"53,74 м²","25,5 м²","17,3 м²","2,77 м",,,Чистовая,6 грузовых,Монолитно-кирпичный,,р-н Московский,80к1,3.0,"Московская, Ленинский проспект, Звездная","7 мин., 4 мин., 6 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"194 просмотра, 3 за сегодня",,1 лоджия,
"Продается 4-комн. квартира, 180,7 м²",ЖК «Neva Haus (Нева Хаус)»,"180,7 м²","95,4 м²","15,3 м²",4,8,2022,Сдан,Без отделки,Новостройка,"180,7 м²","95,4 м²","15,3 м²","3,09 м","2 совмещенных, 1 раздельный",На улицу,Без отделки,,Монолитный,Есть,р-н Петроградский,11к3,3.0,"Крестовский остров, Спортивная, Чкаловская","21 мин., 5 мин., 5 мин.",ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"261 просмотр, нет за сегодня",Без отделки,1 лоджия,Подземная
"Продается 3-комн. квартира, 77,7 м²",ЖК «Friends (Френдс)»,"77,7 м²","36,8 м²","13,5 м²",25,25,2024,Сдан,Предчистовая,Новостройка,"77,7 м²","36,8 м²","13,5 м²","2,75 м","1 совмещенный, 1 раздельный",Во двор,Предчистовая,"2 пассажирских, 1 грузовой",Монолитный,,р-н Приморский,13к3,3.0,"Проспект Просвещения, Озерки, Удельная","10 мин., 12 мин., 13 мин.",,,,,,,,True,"51 просмотр, 14 за сегодня","Чистовая, Без отделки, Предчистовая",2 балкона,
"Продается 4-комн. квартира, 97,29 м²",ЖК «Дубровский»,"97,29 м²","55,5 м²","21,6 м²",4,4,2027,Не сдан,С отделкой,Новостройка,"97,29 м²","55,5 м²","21,6 м²","2,77 м",,,С отделкой,,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Купчино, Звездная, Шушары","25 мин., 26 мин., 28 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"238 просмотров, 1 за сегодня","Чистовая, Предчистовая",,
"Продается 2-комн. квартира, 74,5 м²",ЖК «Friends (Френдс)»,"74,5 м²","27,5 м²","28,1 м²",20,25,2024,Сдан,Чистовая,Новостройка,"74,5 м²","27,5 м²","28,1 м²","2,75 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,"2 пассажирских, 1 грузовой",Монолитный,,р-н Приморский,13к1,3.0,"Проспект Просвещения, Озерки, Удельная","11 мин., 13 мин., 13 мин.",,,,,,,,True,"23 просмотра, 3 за сегодня","Чистовая, Без отделки, Предчистовая",1 балкон,
"Продается 3-комн. квартира, 129,4 м²",ЖК «Grand View (Гранд Вью)»,"129,4 м²","58,4 м²","37,4 м²",1,7,2023,Сдан,Черновая,Новостройка,"129,4 м²","58,4 м²","37,4 м²",,,,Черновая,,Монолитно-кирпичный,Есть,р-н Петроградский,28к2,3.0,"Крестовский остров, Спортивная, Зенит","16 мин., 6 мин., 7 мин.",Setl Group,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"170 просмотров, 1 за сегодня",Черновая,,Подземная
"Продается студия, 24,64 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"24,64 м²","11,4 м²",5 м²,5,5,2025,Не сдан,Чистовая,Новостройка,"24,64 м²","11,4 м²",5 м²,"2,75 м",1 совмещенный,Во двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Купчино, Проспект Ветеранов, Звездная","21 мин., 21 мин., 22 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"34 просмотра, 5 за сегодня",,1 балкон,
"Продается 1-комн. квартира, 34,84 м²",ЖК «Univer City. Город возможностей»,"34,84 м²","10,3 м²","17,2 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"34,84 м²","10,3 м²","17,2 м²","2,77 м",,,Чистовая,13 пассажирских,Монолитный,Есть,р-н Пушкинский,,3.0,"Купчино, Шушары, Дунайская","27 мин., 22 мин., 27 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"24 просмотра, 1 за сегодня","Чистовая с мебелью, Чистовая",1 лоджия,
"Продается 3-комн. квартира, 75 м²",ЖК «Шкиперский 19»,75 м²,"32,2 м²",22 м²,6,12,2027,Не сдан,Без отделки,Новостройка,75 м²,"32,2 м²",22 м²,"2,82 м",2 совмещенных,На улицу,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,к2,3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"19 просмотров, 8 за сегодня","Предчистовая, Без отделки",,Открытая
"Продается 3-комн. квартира, 75,69 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"75,69 м²","38,2 м²",20 м²,4,5,2027,Не сдан,Чистовая,Новостройка,"75,69 м²","38,2 м²",20 м²,,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"17 просмотров, нет за сегодня",,,
"Продается 3-комн. квартира, 112,8 м²",ЖК «Neva Haus (Нева Хаус)»,"112,8 м²","60,9 м²","28,2 м²",7,9,2024,Сдан,Без отделки,Новостройка,"112,8 м²","60,9 м²","28,2 м²",3 м,1 раздельный,На улицу,Без отделки,1 пассажирский,Монолитный,,р-н Петроградский,9к2,3.0,"Крестовский остров, Василеостровская, Спортивная","25 мин., 5 мин., 6 мин.",ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"93 просмотра, нет за сегодня",Без отделки,,Подземная
"Продается 4-комн. квартира, 133 м²",ЖК «Bakunina 33 (Бакунина 33)»,133 м²,"70,2 м²","25,8 м²",2,9,2025,Сдан,Без отделки,Новостройка,133 м²,"70,2 м²","25,8 м²",3 м,3 совмещенных,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Центральный,33,3.0,"Площадь Александра Невского, Площадь Восстания, Маяковская","13 мин., 19 мин., 23 мин.",ГК ПСК,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Внутренний двор, Архитектура, Входная группа",,True,"207 просмотров, 1 за сегодня",Без отделки,,
"Продается 3-комн. квартира, 75,3 м²",ЖК «Univer City. Город возможностей»,"75,3 м²","41,3 м²","18,2 м²",1,4,2028,Не сдан,Чистовая,Новостройка,"75,3 м²","41,3 м²","18,2 м²","2,76 м",,,Чистовая,4 пассажирских,Монолитный,Есть,р-н Пушкинский,,3.0,"Купчино, Шушары, Звездная","17 мин., 17 мин., 18 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"277 просмотров, 6 за сегодня","Чистовая с мебелью, Чистовая",1 лоджия,
"Продается 4-комн. квартира, 150,8 м²",ЖК «Bakunina 33 (Бакунина 33)»,"150,8 м²","87,1 м²","17,3 м²",9,9,2025,Сдан,Без отделки,Новостройка,"150,8 м²","87,1 м²","17,3 м²",3 м,3 совмещенных,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Центральный,33,3.0,"Площадь Александра Невского, Площадь Восстания, Маяковская","13 мин., 19 мин., 23 мин.",ГК ПСК,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Внутренний двор, Архитектура, Входная группа",,True,"13 просмотров, 1 за сегодня",Без отделки,3 балкона,
"Продается студия, 20,4 м²",ЖК «Пейзажный квартал»,"20,4 м²","9,1 м²",,9,25,2026,Не сдан,Чистовая,Новостройка,"20,4 м²","9,1 м²",,"2,55 м",1 совмещенный,На улицу,,"1 пассажирский, 1 грузовой",Панельный,,Пейзажный квартал Цветной Город жилой комплекс,,3.0,"Академическая, Девяткино, Гражданский проспект","15 мин., 10 мин., 12 мин.",,,,,,,,False,"71 просмотр, 3 за сегодня",,,Наземная
"Продается студия, 23,8 м²",ЖК «Цветной Город»,"23,8 м²","11,2 м²",,6,21,2026,Не сдан,Чистовая,Новостройка,"23,8 м²","11,2 м²",,"2,55 м",1 совмещенный,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"75 просмотров, нет за сегодня","Чистовая, Чистовая с мебелью","1 лоджия, 1 балкон",
"Продается 2-комн. квартира, 53,3 м²",ЖК «Шкиперский 19»,"53,3 м²","21,3 м²","18,9 м²",5,8,2027,Не сдан,Без отделки,Новостройка,"53,3 м²","21,3 м²","18,9 м²","2,82 м",2 совмещенных,На улицу,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,к2,3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"134 просмотра, нет за сегодня","Предчистовая, Без отделки",,Открытая
"Продается 1-комн. квартира, 35,5 м²",ЖК «Витебский парк»,"35,5 м²","10,4 м²","17,6 м²",11,12,2028,Не сдан,Чистовая,Новостройка,"35,5 м²","10,4 м²","17,6 м²","2,62 м",1 совмещенный,На улицу,Чистовая,2 пассажирских,Монолитный,,р-н Фрунзенский,,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.",ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Входная группа, Лифт",,True,"35 просмотров, нет за сегодня","Чистовая, Предчистовая",,Открытая
"Продается студия, 23,09 м²",ЖК «Любоград»,"23,09 м²","13,9 м²",,4,4,2027,Не сдан,Чистовая,Новостройка,"23,09 м²","13,9 м²",,"2,77 м",,,Чистовая,7 пассажирских,Монолитно-кирпичный,,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 17 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"67 просмотров, 2 за сегодня",,,
"Продается 4-комн. квартира, 136,16 м²",ЖК «Imperial Club»,"136,16 м²","74,7 м²","18,4 м²",5,6,2026,Не сдан,Черновая,Новостройка,"136,16 м²","74,7 м²","18,4 м²",3 м,,,Черновая,49 грузовых,Монолитно-кирпичный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Спортивная","9 мин., 4 мин., 6 мин.",Setl Group,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"55 просмотров, нет за сегодня","Чистовая, Черновая",3 балкона,Подземная
