title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_flat_балкон/лоджия,char_building_парковка,hc_decoration_options
"Продается 2-комн. квартира, 57,98 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"57,98 м²",,,3,17,2027,Не сдан,,Новостройка,"57,98 м²",,,"2,75 м",,,,"16 пассажирских, 2 грузовых",Монолитный,,р-н Приморский,24,3.0,"Комендантский проспект, Старая Деревня, Пионерская","11 мин., 11 мин., 12 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"119 просмотров, 9 за сегодня",,,
"Продается 1-комн. квартира, 35,71 м²",ЖК «Астра Континенталь»,"35,71 м²","10,2 м²",17 м²,1,11,2028,Не сдан,Чистовая,Новостройка,"35,71 м²","10,2 м²",17 м²,"2,77 м",,,Чистовая,"23 пассажирских, 23 грузовых",Монолитно-кирпичный,,р-н Невский,,3.0,"Елизаровская, Площадь Александра Невского, Обводный канал","16 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"31 просмотр, 1 за сегодня",1 лоджия,Подземная,
"Продается 1-комн. квартира, 32,01 м²",ЖК «Астра Континенталь»,"32,01 м²",10 м²,15 м²,2,11,2028,Не сдан,Чистовая,Новостройка,"32,01 м²",10 м²,15 м²,"2,77 м",,,Чистовая,"23 пассажирских, 23 грузовых",Монолитно-кирпичный,,р-н Невский,,3.0,"Елизаровская, Площадь Александра Невского, Обводный канал","16 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"5 просмотров, нет за сегодня",1 лоджия,Подземная,
"Продается 2-комн. квартира, 61,93 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"61,93 м²","26,5 м²","20,3 м²",2,5,2027,Не сдан,Чистовая,Новостройка,"61,93 м²","26,5 м²","20,3 м²",,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"22 просмотра, нет за сегодня",,,
"Продается 1-комн. квартира, 57,1 м²",ЖК «Прагма city»,"57,1 м²","18,2 м²",25 м²,18,23,2022,Сдан,Предчистовая,Новостройка,"57,1 м²","18,2 м²",25 м²,"2,73 м","1 совмещенный, 1 раздельный",,Предчистовая,"1 пассажирский, 2 грузовых",Монолитный,,р-н Выборгский,дор. Ольгинская,3.0,"Парнас, Проспект Просвещения, Озерки","19 мин., 7 мин., 9 мин.",,,,,,,,False,"164 просмотра, 6 за сегодня",1 балкон,Наземная,"Чистовая, Предчистовая, Без отделки"
"Продается 2-комн. квартира, 46,52 м²",ЖК «Аквилон All In 3.0»,"46,52 м²",,,2,12,2025,Не сдан,,Новостройка,"46,52 м²",,,"2,72 м",,,,11 грузовых,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Звездная, Купчино, Шушары","12 мин., 13 мин., 13 мин.",Группа Аквилон,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"3 просмотра, 1 за сегодня",,,
"Продается 2-комн. квартира, 53,22 м²",ЖК «Окла (Okla)»,"53,22 м²",,,1,7,2027,Не сдан,,Новостройка,"53,22 м²",,,,,,,,Монолитный,,р-н Приморский,,3.0,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"10 просмотров, 1 за сегодня",,,
"Продается 1-комн. квартира, 44,5 м²",ЖК «Руднева 15»,"44,5 м²","13,2 м²","19,9 м²",1,13,2024,Сдан,Чистовая,Новостройка,"44,5 м²","13,2 м²","19,9 м²","2,63 м",,Во двор,Чистовая,,Монолитный,,р-н Выборгский,2к2,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 6 мин., 7 мин.",,,,,,,,False,"4 просмотра, нет за сегодня",,,
"Продается 2-комн. квартира, 60,28 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"60,28 м²","26,1 м²",20 м²,4,5,2027,Не сдан,Чистовая,Новостройка,"60,28 м²","26,1 м²",20 м²,,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"57 просмотров, 1 за сегодня",,,
"Продается 2-комн. квартира, 62,59 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"62,59 м²","27,2 м²","20,4 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"62,59 м²","27,2 м²","20,4 м²",,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"13 просмотров, нет за сегодня",,,
