title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_flat_балкон/лоджия,char_building_парковка,hc_decoration_options
"Продается 2-комн. квартира, 57,3 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"57,3 м²",31 м²,"12,5 м²",3,5,2027,Не сдан,Чистовая,Новостройка,"57,3 м²",31 м²,"12,5 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"7 просмотров, 1 за сегодня",1 лоджия,,
"Продается 1-комн. квартира, 51,7 м²",ЖК «Пулково Лейк»,"51,7 м²","11,1 м²","16,3 м²",4,4,2026,Не сдан,Чистовая,Новостройка,"51,7 м²","11,1 м²","16,3 м²","2,6 м","1 совмещенный, 1 раздельный",Во двор,Чистовая,"12 пассажирских, 1 грузовой",Панельный,,р-н Пушкинский,,3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"322 просмотра, 7 за сегодня",,,
"Продается 1-комн. квартира, 41,3 м²",ЖК «Витебский парк»,"41,3 м²","10,2 м²",16 м²,2,12,2028,Не сдан,Чистовая,Новостройка,"41,3 м²","10,2 м²",16 м²,"2,62 м",1 совмещенный,На улицу,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Фрунзенский,,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.",ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Входная группа, Лифт",,True,"144 просмотра, 1 за сегодня",,Открытая,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 39,7 м²",ЖК «Витебский парк»,"39,7 м²","12,3 м²","20,3 м²",5,12,2028,Не сдан,Чистовая,Новостройка,"39,7 м²","12,3 м²","20,3 м²","2,62 м",1 совмещенный,На улицу,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Фрунзенский,,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.",ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Входная группа, Лифт",,True,"нет просмотров, нет за сегодня",,Открытая,"Чистовая, Предчистовая"
"Продается студия, 23,4 м²",ЖК «Клубный дом N8»,"23,4 м²","14,8 м²",,2,10,2027,Не сдан,Без отделки,Новостройка,"23,4 м²","14,8 м²",,,,На улицу и двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Центральный,11,3.0,"Площадь Александра Невского, Площадь Восстания, Маяковская","19 мин., 22 мин., 25 мин.",ГК ФСК,Бизнес,Монолитный,Подземная,Клубный дом,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"1337 просмотров, 13 за сегодня",,,
"Продается 1-комн. квартира, 45,4 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"45,4 м²",,,4,17,2027,Не сдан,Без отделки,Новостройка,"45,4 м²",,,"2,85 м",,На улицу и двор,,"12 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Московский,13ВА,3.0,"Звездная, Купчино, Московская","15 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"9 просмотров, 1 за сегодня",,,
"Продается 2-комн. квартира, 54,22 м²",ЖК «Окла (Okla)»,"54,22 м²",,,1,7,2027,Не сдан,,Новостройка,"54,22 м²",,,,,,,,Монолитный,,р-н Приморский,,3.0,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"8 просмотров, 1 за сегодня",,,
"Продается студия, 29,54 м²",ЖК «Остров первых»,"29,54 м²","16,6 м²",,6,9,2029,Не сдан,Без отделки,Новостройка,"29,54 м²","16,6 м²",,"2,85 м",,,,17 пассажирских,Монолитно-кирпичный,Есть,Перевозная ул.,,3.0,"Садовая, Балтийская, Сенная площадь","6 мин., 6 мин., 6 мин.",,,,,,,,False,"304 просмотра, 3 за сегодня",,Подземная,
"Продается 3-комн. квартира, 88,1 м²",ЖК «Мариоки»,"88,1 м²","51,9 м²",15 м²,4,8,2022,Сдан,Без отделки,Новостройка,"88,1 м²","51,9 м²",15 м²,"2,75 м","1 совмещенный, 1 раздельный",На улицу,Без отделки,,Монолитно-кирпичный,,р-н Курортный,ул. Правды,,,,Строительный холдинг Сенатор,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Парки",,False,"299 просмотров, 15 за сегодня",1 балкон,,Без отделки
"Продается 3-комн. квартира, 76,47 м²",ЖК «Образцовый квартал 16»,"76,47 м²","44,3 м²",10 м²,1,4,2026,Не сдан,Предчистовая,Новостройка,"76,47 м²","44,3 м²",10 м²,"2,87 м",1 совмещенный,,Предчистовая,1 пассажирский,Монолитно-кирпичный,,р-н Пушкинский,3,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",,,,,,,,True,"331 просмотр, 5 за сегодня",1 балкон,Наземная,
"Продается 1-комн. квартира, 49,5 м²",ЖК «Руднева 15»,"49,5 м²","12,9 м²","21,5 м²",1,12,2024,Сдан,Чистовая,Новостройка,"49,5 м²","12,9 м²","21,5 м²","2,63 м",,Во двор,Чистовая,,Монолитный,,р-н Выборгский,15,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 7 мин., 7 мин.",,,,,,,,False,"73 просмотра, 1 за сегодня",,,
"Продается 1-комн. квартира, 45,4 м²",ЖК «Руднева 15»,"45,4 м²","13,6 м²","19,6 м²",12,12,2024,Сдан,Чистовая,Новостройка,"45,4 м²","13,6 м²","19,6 м²","2,63 м",,На улицу,Чистовая,,Монолитный,,р-н Выборгский,15,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 7 мин., 7 мин.",,,,,,,,False,"219 просмотров, 9 за сегодня",,,
"Продается 3-комн. квартира, 61,8 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"61,8 м²","33,7 м²","10,6 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"61,8 м²","33,7 м²","10,6 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"10 просмотров, 2 за сегодня",,,
"Продается 1-комн. квартира, 45,88 м²",ЖК «Цивилизация на Неве»,"45,88 м²",29 м²,"6,3 м²",12,18,2027,Не сдан,Предчистовая,Новостройка,"45,88 м²",29 м²,"6,3 м²","2,82 м","1 совмещенный, 1 раздельный",Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,Есть,р-н Невский,,3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"54 просмотра, 1 за сегодня",1 лоджия,,
"Продается 1-комн. квартира, 54,1 м²",ЖК «Пулково Лейк»,"54,1 м²","11,2 м²",17 м²,4,4,2026,Не сдан,Чистовая,Новостройка,"54,1 м²","11,2 м²",17 м²,"2,6 м","1 совмещенный, 1 раздельный",Во двор,Чистовая,"1 пассажирский, 8 грузовых",Панельный,,р-н Пушкинский,,3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"313 просмотров, 3 за сегодня",,Подземная,
"Продается 1-комн. квартира, 38,5 м²",ЖК «ЛСР. Большая Охта»,"38,5 м²",26 м²,5 м²,11,12,2026,Не сдан,Предчистовая,Новостройка,"38,5 м²",26 м²,5 м²,"2,95 м",1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,3В,3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"84 просмотра, нет за сегодня",,,
"Продается 2-комн. квартира, 65,1 м²",ЖК «Клюква.Парк»,"65,1 м²",,,2,12,2028,Не сдан,Без отделки,Новостройка,"65,1 м²",,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"3 просмотра, нет за сегодня",,,
"Продается 2-комн. квартира, 56,52 м²",ЖК «Дубровский»,"56,52 м²","22,5 м²","19,5 м²",1,4,2027,Не сдан,С отделкой,Новостройка,"56,52 м²","22,5 м²","19,5 м²",,,,С отделкой,,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Купчино, Звездная, Шушары","24 мин., 25 мин., 27 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"11 просмотров, 1 за сегодня",,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 43,8 м²",ЖК «Витебский парк»,"43,8 м²","10,1 м²","16,3 м²",7,12,2028,Не сдан,Предчистовая,Новостройка,"43,8 м²","10,1 м²","16,3 м²","2,68 м",1 совмещенный,На улицу,Предчистовая,2 пассажирских,Монолитный,,р-н Фрунзенский,,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.",ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Входная группа, Лифт",,True,"12 просмотров, нет за сегодня",,Открытая,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 40,97 м²",ЖК «Титул в Московском»,"40,97 м²","13,4 м²","17,6 м²",8,12,2028,Не сдан,Чистовая,Новостройка,"40,97 м²","13,4 м²","17,6 м²","2,77 м",,,Чистовая,"8 пассажирских, 8 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Московская, Ленинский проспект, Звездная","7 мин., 4 мин., 5 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"6 просмотров, нет за сегодня",1 лоджия,,
"Продается 2-комн. квартира, 52,4 м²",ЖК «Дубровский»,"52,4 м²","25,2 м²","13,8 м²",1,4,2025,Не сдан,Нет информации,Новостройка,"52,4 м²","25,2 м²","13,8 м²",,,,Нет информации,"8 пассажирских, 8 грузовых",Монолитно-кирпичный,,р-н Пушкинский,4,3.0,"Купчино, Звездная, Шушары","24 мин., 25 мин., 27 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"70 просмотров, 6 за сегодня",,,"Чистовая, Предчистовая"
"Продается 2-комн. квартира, 50,83 м²",ЖК «Южный Форт»,"50,83 м²",,,12,20,2026,Не сдан,,Новостройка,"50,83 м²",,,"2,74 м",,,,6 грузовых,Монолитный,,р-н Красносельский,62к1,3.0,"Юго-Западная, Автово, Ленинский проспект","6 мин., 8 мин., 8 мин.",ГК Лидер Групп,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"72 просмотра, 20 за сегодня",,,
"Продается 2-комн. квартира, 52,53 м²",ЖК «Ultra City 3.0 (Ультра Сити 3.0)»,"52,53 м²",23 м²,"15,3 м²",10,17,2028,Не сдан,Предчистовая,Новостройка,"52,53 м²",23 м²,"15,3 м²","2,75 м",,,Предчистовая,2 пассажирских,Монолитно-кирпичный,Есть,р-н Приморский,,3.0,"Комендантский проспект, Пионерская, Удельная","11 мин., 12 мин., 12 мин.",RBI,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"170 просмотров, 16 за сегодня",,Наземная,
"Продается 3-комн. квартира, 80,13 м²",ЖК «Квартал Заречье»,"80,13 м²",,,1,9,2027,Не сдан,,Новостройка,"80,13 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,,3.0,"Рыбацкое, Обухово, Пролетарская","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"21 просмотр, нет за сегодня",,,
"Продается 2-комн. квартира, 52,09 м²",ЖК «Кинопарк»,"52,09 м²","25,8 м²","10,9 м²",1,9,2028,Не сдан,Без отделки,Новостройка,"52,09 м²","25,8 м²","10,9 м²",3 м,1 совмещенный,На улицу,,,Монолитно-кирпичный,Есть,р-н Красносельский,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","9 мин., 11 мин., 11 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,"Монолитно-кирпичный, монолитный","Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"386 просмотров, 2 за сегодня",,,
"Продается 2-комн. квартира, 61,5 м²",ЖК «Клюква.Парк»,"61,5 м²",,,2,12,2028,Не сдан,Без отделки,Новостройка,"61,5 м²",,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"1 просмотр, нет за сегодня",,,
"Продается 2-комн. квартира, 58,56 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"58,56 м²",,,2,17,2027,Не сдан,,Новостройка,"58,56 м²",,,"2,75 м",,,,"16 пассажирских, 2 грузовых",Монолитный,,р-н Приморский,24,3.0,"Комендантский проспект, Старая Деревня, Пионерская","11 мин., 11 мин., 12 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"83 просмотра, 5 за сегодня",,,
"Продается 1-комн. квартира, 35,9 м²",ЖК «ЛСР. Большая Охта»,"35,9 м²","10,9 м²",17 м²,12,12,2025,Не сдан,Предчистовая,Новостройка,"35,9 м²","10,9 м²",17 м²,"2,7 м",,На улицу,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,5,3.0,"Ладожская, Новочеркасская, Чернышевская","4 мин., 4 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"нет просмотров, нет за сегодня",,Подземная,
"Продается 2-комн. квартира, 59 м²",ЖК «ЮгТаун. Олимпийские кварталы»,59 м²,"26,6 м²","20,5 м²",4,5,2025,Сдан,Чистовая,Новостройка,59 м²,"26,6 м²","20,5 м²",,,,Чистовая,,Монолитный,,р-н Пушкинский,14,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"61 просмотр, 9 за сегодня",,,
"Продается 3-комн. квартира, 73,68 м²",ЖК «Образцовый квартал 6.4»,"73,68 м²","44,5 м²","11,1 м²",1,4,2028,Не сдан,Предчистовая,Новостройка,"73,68 м²","44,5 м²","11,1 м²","2,87 м",1 совмещенный,,Предчистовая,1 пассажирский,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Купчино, Звездная, Проспект Ветеранов","20 мин., 21 мин., 22 мин.",,,,,,,,True,"66 просмотров, нет за сегодня",1 балкон,Наземная,
"Продается 1-комн. квартира, 30,32 м²",ЖК «MONODOM ART (МОНОДОМ АРТ)»,"30,32 м²",,,3,9,2026,Не сдан,,Новостройка,"30,32 м²",,,"2,83 м",,,,,Монолитно-кирпичный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Приморская","16 мин., 5 мин., 5 мин.",,,,,,,,False,"123 просмотра, 8 за сегодня",,Подземная,
"Продается студия, 27,68 м²",ЖК «Ассамблея»,"27,68 м²","13,5 м²",5 м²,2,12,2028,Не сдан,Без отделки,Новостройка,"27,68 м²","13,5 м²",5 м²,3 м,1 совмещенный,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,,3.0,"Василеостровская, Горный институт, Приморская","22 мин., 16 мин., 5 мин.",,,,,,,,True,"1 просмотр, нет за сегодня",,,Без отделки
"Продается 3-комн. квартира, 78,28 м²",ЖК «Квартал Заречье»,"78,28 м²",,,2,9,2027,Не сдан,,Новостройка,"78,28 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,71Д,3.0,"Рыбацкое, Пролетарская, Обухово","17 мин., 21 мин., 21 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"12 просмотров, 1 за сегодня",,,
"Продается 3-комн. квартира, 77,75 м²",ЖК «Квартал Заречье»,"77,75 м²",,,5,9,2027,Не сдан,,Новостройка,"77,75 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,,3.0,"Рыбацкое, Обухово, Пролетарская","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"18 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 54,72 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"54,72 м²","25,3 м²","13,6 м²",3,5,2026,Не сдан,Чистовая,Новостройка,"54,72 м²","25,3 м²","13,6 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Московская, Проспект Ветеранов, Звездная","19 мин., 21 мин., 22 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"22 просмотра, 10 за сегодня",,,
"Продается 2-комн. квартира, 53,6 м²",ЖК «Пулково Лейк»,"53,6 м²","22,4 м²","14,9 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"53,6 м²","22,4 м²","14,9 м²","2,74 м",2 совмещенных,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Панельный,,р-н Пушкинский,,3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"904 просмотра, 13 за сегодня",,Наземная,
"Продается 1-комн. квартира, 34,53 м²",ЖК «MONODOM ART (МОНОДОМ АРТ)»,"34,53 м²",,,1,9,2026,Не сдан,,Новостройка,"34,53 м²",,,"2,83 м",,,,,Монолитно-кирпичный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Приморская","16 мин., 5 мин., 5 мин.",,,,,,,,False,"41 просмотр, 2 за сегодня",,Подземная,
"Продается 1-комн. квартира, 46,6 м²",ЖК «Руднева 15»,"46,6 м²","11,6 м²","23,4 м²",1,13,2024,Сдан,Чистовая,Новостройка,"46,6 м²","11,6 м²","23,4 м²","2,63 м",,Во двор,Чистовая,,Монолитный,,р-н Выборгский,2к2,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 6 мин., 7 мин.",,,,,,,,False,"9 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 53,18 м²",ЖК «Кинопарк»,"53,18 м²","27,5 м²",11 м²,2,9,2028,Не сдан,Без отделки,Новостройка,"53,18 м²","27,5 м²",11 м²,3 м,,На улицу,,14 пассажирских,Монолитно-кирпичный,Есть,р-н Красносельский,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","9 мин., 11 мин., 11 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,"Монолитно-кирпичный, монолитный","Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"506 просмотров, 13 за сегодня",,,
"Продается 1-комн. квартира, 37,37 м²",ЖК «Ранта Резиденс (Ranta Residence)»,"37,37 м²",11 м²,12 м²,3,4,2026,Не сдан,Предчистовая,Новостройка,"37,37 м²",11 м²,12 м²,3 м,1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,,р-н Курортный,,,,,LAR Development,Бизнес,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"409 просмотров, нет за сегодня",1 лоджия,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 37,57 м²",ЖК «Ранта Резиденс (Ranta Residence)»,"37,57 м²",11 м²,12 м²,2,4,2026,Не сдан,Предчистовая,Новостройка,"37,57 м²",11 м²,12 м²,3 м,1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,,р-н Курортный,,,,,LAR Development,Бизнес,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"755 просмотров, 9 за сегодня",1 лоджия,,"Чистовая, Предчистовая"
"Продается 2-комн. квартира, 54,29 м²",ЖК «Дубровский»,"54,29 м²","26,4 м²","12,7 м²",2,4,2027,Не сдан,С отделкой,Новостройка,"54,29 м²","26,4 м²","12,7 м²",,,,С отделкой,,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Купчино, Звездная, Шушары","24 мин., 25 мин., 27 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"15 просмотров, нет за сегодня",,,"Чистовая, Предчистовая"
"Продается 2-комн. квартира, 62,21 м²",ЖК «Любоград»,"62,21 м²","26,2 м²","18,2 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"62,21 м²","26,2 м²","18,2 м²","2,77 м",,,Чистовая,7 пассажирских,Монолитно-кирпичный,,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 17 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"46 просмотров, 6 за сегодня",,,
"Продается 1-комн. квартира, 41,66 м²",ЖК «Титул в Московском»,"41,66 м²","12,5 м²",17 м²,1,11,2026,Не сдан,Чистовая,Новостройка,"41,66 м²","12,5 м²",17 м²,"2,77 м",,,Чистовая,6 грузовых,Монолитно-кирпичный,,р-н Московский,80к1,3.0,"Московская, Ленинский проспект, Звездная","7 мин., 4 мин., 6 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"59 просмотров, 1 за сегодня",1 лоджия,,
"Продается 1-комн. квартира, 47,64 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"47,64 м²",,,2,17,2027,Не сдан,Без отделки,Новостройка,"47,64 м²",,,"2,85 м",,На улицу и двор,,"12 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Московский,13ВА,3.0,"Звездная, Купчино, Московская","15 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"9 просмотров, 3 за сегодня",,,
"Продается 3-комн. квартира, 80,75 м²",ЖК «Квартал Заречье»,"80,75 м²",,,2,9,2027,Не сдан,,Новостройка,"80,75 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,71Д,3.0,"Рыбацкое, Пролетарская, Обухово","17 мин., 21 мин., 21 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"12 просмотров, нет за сегодня",,,
"Продается студия, 29,45 м²",ЖК «Галерная гавань»,"29,45 м²","14,1 м²",5 м²,4,12,2028,Не сдан,Без отделки,Новостройка,"29,45 м²","14,1 м²",5 м²,"3,02 м",1 совмещенный,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,Есть,р-н Василеостровский,Галерная гавань жилой комплекс,3.0,"Горный институт, Приморская, Василеостровская","6 мин., 8 мин., 9 мин.",,,,,,,,False,"10 просмотров, 1 за сегодня",,,Без отделки
"Продается 2-комн. квартира, 53,19 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"53,19 м²","24,7 м²","12,7 м²",2,5,2025,Не сдан,Чистовая,Новостройка,"53,19 м²","24,7 м²","12,7 м²","2,75 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,5к2,3.0,"Звездная, Московская, Проспект Ветеранов","18 мин., 19 мин., 23 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, нет за сегодня",,,
"Продается 3-комн. квартира, 65,9 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"65,9 м²","34,1 м²",17 м²,1,5,2027,Не сдан,Чистовая,Новостройка,"65,9 м²","34,1 м²",17 м²,"2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"7 просмотров, 3 за сегодня",,,
