title,residential_complex,char_total_area,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_высота_потолков,char_flat_вид_из_окон,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_living_area,char_площадь кухни,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_санузел,char_flat_балкон/лоджия,char_flat_отделка,char_building_количество_лифтов,char_building_парковка,hc_decoration_options,char_building_пандус
"Продается студия, 24,58 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"24,58 м²",4,17,2027,Не сдан,Без отделки,Новостройка,"24,58 м²","2,85 м",Во двор,Монолитно-кирпичный,р-н Московский,13ВА,3,"Звездная, Купчино, Московская","18 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, 1 за сегодня",,,,,,,,,,,
"Продается студия, 30 м²",ЖК «Тайм Сквер»,30 м²,6,13,2024,Сдан,,Новостройка,30 м²,"2,74 м",,Монолитно-кирпичный,р-н Приморский,99,3,"Старая Деревня, Комендантский проспект, Беговая","11 мин., 12 мин., 14 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"9 просмотров, нет за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 41,6 м²",ЖК «Образцовый квартал 16»,"41,6 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"41,6 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,3,3,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",,,,,,,,True,"4 просмотра, 1 за сегодня","17,5 м²","11,8 м²","17,5 м²","11,8 м²",1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 1-комн. квартира, 41,72 м²",ЖК «Образцовый квартал 6.4»,"41,72 м²",1,4,2028,Не сдан,Предчистовая,Новостройка,"41,72 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Звездная, Московская","20 мин., 21 мин., 22 мин.",,,,,,,,True,"3 просмотра, нет за сегодня","16,6 м²","12,1 м²","16,6 м²","12,1 м²",1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 1-комн. квартира, 33,57 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"33,57 м²",1,17,2027,Не сдан,,Новостройка,"33,57 м²","2,75 м",,Монолитный,р-н Приморский,24,3,"Пионерская, Старая Деревня, Комендантский проспект","10 мин., 10 мин., 11 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"348 просмотров, 1 за сегодня",,,,,,,,"8 пассажирских, 2 грузовых",,,
"Продается 1-комн. квартира, 39,74 м²",ЖК «Юнтолово»,"39,74 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"39,74 м²",,На улицу и двор,Монолитный,р-н Приморский,1к3,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"1802 просмотра, 1 за сегодня","11,2 м²","19,3 м²","11,2 м²","19,3 м²",,,Чистовая,,,"Чистовая, Предчистовая",
"Продается 1-комн. квартира, 35,52 м²",ЖК «Любоград»,"35,52 м²",1,4,2025,Сдан,Чистовая,Новостройка,"35,52 м²","2,77 м",,Монолитный,р-н Петродворцовый,26к6,3,"Ленинский проспект, Проспект Ветеранов, Автово","17 мин., 18 мин., 19 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"70 просмотров, 1 за сегодня","11,4 м²","15,7 м²","11,4 м²","15,7 м²",,,Чистовая,8 пассажирских,,,
"Продается 1-комн. квартира, 34,89 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"34,89 м²",1,5,2025,Не сдан,Чистовая,Новостройка,"34,89 м²","2,75 м",Во двор,Монолитный,р-н Московский,5к2,3,"Звездная, Московская, Проспект Ветеранов","18 мин., 19 мин., 23 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, 1 за сегодня","16,4 м²","9,7 м²","16,4 м²","9,7 м²",1 совмещенный,,Чистовая,1 грузовой,,,
"Продается 1-комн. квартира, 39,02 м²",ЖК «Юнтолово»,"39,02 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"39,02 м²",,На улицу и двор,Монолитный,р-н Приморский,1к4,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"6418 просмотров, нет за сегодня","11,2 м²","18,9 м²","11,2 м²","18,9 м²",,,Чистовая,1 грузовой,,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 38,9 м²",ЖК «Univer City. Город возможностей»,"38,9 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"38,9 м²","2,77 м",,Монолитный,р-н Пушкинский,,3,"Купчино, Шушары, Дунайская","27 мин., 22 мин., 27 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"21 просмотр, 1 за сегодня",12 м²,17 м²,12 м²,17 м²,,1 лоджия,Чистовая,13 пассажирских,,"Чистовая с мебелью, Чистовая",Есть
"Продается 1-комн. квартира, 35,56 м²",ЖК «GloraX Парголово (Глоракс Парголово)»,"35,56 м²",9,15,2026,Не сдан,,Новостройка,"35,56 м²","2,6 м",,Монолитный,Парголово поселок,,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 13 мин.",,,,,,,,False,"251 просмотр, 1 за сегодня","11,3 м²","11,5 м²","11,3 м²","11,5 м²",,,,,,,
"Продается 1-комн. квартира, 40,9 м²",ЖК «Юнтолово»,"40,9 м²",3,24,2023,Сдан,Чистовая,Новостройка,"40,9 м²","2,6 м",На улицу и двор,Монолитный,р-н Приморский,19к1,3,"Беговая, Старая Деревня, Черная речка","13 мин., 17 мин., 20 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"943 просмотра, 50 за сегодня","9,6 м²","15,4 м²","9,6 м²","15,4 м²",,,Чистовая,,,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 47,63 м²",ЖК «Квартал Заречье»,"47,63 м²",1,9,2027,Не сдан,,Новостройка,"47,63 м²","2,7 м",,Монолитный,р-н Колпинский,71Д,3,"Рыбацкое, Пролетарская, Обухово","17 мин., 21 мин., 21 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"4 просмотра, нет за сегодня",,,,,,,,5 грузовых,,,Есть
"Продается 1-комн. квартира, 44,94 м²",ЖК «Квартал Заречье»,"44,94 м²",4,9,2026,Не сдан,,Новостройка,"44,94 м²","2,7 м",,Монолитный,р-н Колпинский,,3,"Рыбацкое, Пролетарская, Обухово","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"30 просмотров, нет за сегодня",,,,,,,,5 грузовых,,,Есть
"Продается 1-комн. квартира, 32,31 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"32,31 м²",5,5,2025,Не сдан,Чистовая,Новостройка,"32,31 м²","2,75 м",Во двор,Монолитный,р-н Московский,5к2,3,"Звездная, Московская, Проспект Ветеранов","18 мин., 19 мин., 23 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, нет за сегодня",10 м²,"10,6 м²",10 м²,"10,6 м²",1 совмещенный,1 балкон,Чистовая,1 грузовой,,,
"Продается 1-комн. квартира, 40,7 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"40,7 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"40,7 м²","2,89 м",На улицу и двор,Монолитный,р-н Московский,,3,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, нет за сегодня","10,8 м²",22 м²,"10,8 м²",22 м²,1 совмещенный,,Чистовая,1 грузовой,,,
"Продается студия, 27,03 м²",ЖК «Цивилизация на Неве»,"27,03 м²",3,18,2027,Не сдан,Предчистовая,Новостройка,"27,03 м²","2,82 м",Во двор,Монолитный,р-н Невский,,3,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"22 просмотра, нет за сегодня","13,9 м²",,"13,9 м²",,1 совмещенный,,Предчистовая,"1 пассажирский, 1 грузовой",,,Есть
"Продается 1-комн. квартира, 36,9 м²",ЖК «Пулково Лейк»,"36,9 м²",1,4,2026,Не сдан,Чистовая,Новостройка,"36,9 м²","2,6 м",Во двор,Панельный,р-н Пушкинский,,3,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"398 просмотров, 5 за сегодня","11,7 м²","17,8 м²","11,7 м²","17,8 м²",1 совмещенный,,Чистовая,"1 пассажирский, 8 грузовых",Подземная,,
"Продается студия, 23,3 м²",ЖК «ЛСР. Большая Охта»,"23,3 м²",2,12,2026,Не сдан,Предчистовая,Новостройка,"23,3 м²","2,8 м",Во двор,Монолитный,р-н Красногвардейский,3В,3,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"81 просмотр, нет за сегодня","12,2 м²",,"12,2 м²",,1 совмещенный,,Предчистовая,"1 пассажирский, 1 грузовой",,,
"Продается студия, 22,3 м²",ЖК «ЛСР. Большая Охта»,"22,3 м²",6,12,2026,Не сдан,Предчистовая,Новостройка,"22,3 м²","2,95 м",Во двор,Монолитный,р-н Красногвардейский,3В,3,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"17 просмотров, нет за сегодня","11,1 м²",,"11,1 м²",,1 совмещенный,,Предчистовая,"1 пассажирский, 1 грузовой",,,
"Продается студия, 23,5 м²",ЖК «ЛСР. Большая Охта»,"23,5 м²",5,10,2027,Не сдан,Предчистовая,Новостройка,"23,5 м²","2,72 м",Во двор,Монолитный,р-н Красногвардейский,8к2,3,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"38 просмотров, 1 за сегодня","11,6 м²",,"11,6 м²",,1 совмещенный,,Предчистовая,"1 пассажирский, 1 грузовой",,,
"Продается 2-комн. квартира, 51,2 м²",ЖК «Цветной Город»,"51,2 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"51,2 м²","2,55 м",Во двор,Монолитный,р-н Красногвардейский,2,3,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"303 просмотра, 3 за сегодня",26 м²,"11,6 м²",26 м²,"11,6 м²",1 совмещенный,,Чистовая,3 грузовых,,"Чистовая, Чистовая с мебелью",
"Продается 1-комн. квартира, 38 м²",ЖК «Univer City. Город возможностей»,38 м²,1,4,2025,Сдан,Чистовая,Новостройка,38 м²,"2,77 м",,Монолитно-кирпичный,р-н Пушкинский,ш. Колпинское,3,"Купчино, Шушары, Обухово","20 мин., 20 мин., 23 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"42 просмотра, нет за сегодня",18 м²,"10,2 м²",18 м²,"10,2 м²",,1 лоджия,Чистовая,,,"Чистовая с мебелью, Чистовая",Есть
"Продается 1-комн. квартира, 38,3 м²",ЖК «Univer City. Город возможностей»,"38,3 м²",1,4,2025,Сдан,Чистовая,Новостройка,"38,3 м²","2,77 м",,Монолитно-кирпичный,р-н Пушкинский,ш. Колпинское,3,"Купчино, Шушары, Звездная","22 мин., 18 мин., 21 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"71 просмотр, 1 за сегодня",18 м²,"10,2 м²",18 м²,"10,2 м²",,1 лоджия,Чистовая,,,"Чистовая с мебелью, Чистовая",Есть
"Продается 1-комн. квартира, 37,04 м²",ЖК «Любоград»,"37,04 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"37,04 м²","2,77 м",,Монолитно-кирпичный,р-н Петродворцовый,,3,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 17 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"8 просмотров, нет за сегодня","13,1 м²","16,1 м²","13,1 м²","16,1 м²",,,Чистовая,7 пассажирских,,,
"Продается 1-комн. квартира, 39,76 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"39,76 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"39,76 м²",,,Монолитный,р-н Пушкинский,,3,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"4 просмотра, нет за сегодня","12,1 м²",18 м²,"12,1 м²",18 м²,,,Чистовая,,,,
"Продается 1-комн. квартира, 36,15 м²",ЖК «Любоград»,"36,15 м²",1,4,2025,Сдан,Чистовая,Новостройка,"36,15 м²","2,77 м",,Монолитный,р-н Петродворцовый,26к7,3,"Ленинский проспект, Проспект Ветеранов, Автово","17 мин., 19 мин., 19 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"57 просмотров, 1 за сегодня","13,6 м²","12,4 м²","13,6 м²","12,4 м²",,,Чистовая,8 пассажирских,,,
"Продается 2-комн. квартира, 47,52 м²",ЖК «Город-спутник Южный»,"47,52 м²",6,10,2027,Не сдан,Чистовая,Новостройка,"47,52 м²","2,7 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Московская, Проспект Ветеранов, Звездная","30 мин., 32 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"29 просмотров, 1 за сегодня",,,,,,,Чистовая,4 пассажирских,,,
"Продается студия, 24,58 м²",ЖК «Setl Ривьера»,"24,58 м²",7,17,2028,Не сдан,Чистовая,Новостройка,"24,58 м²","2,77 м",,Монолитно-кирпичный,р-н Невский,,3,"Проспект Большевиков, Новочеркасская, Ломоносовская","7 мин., 6 мин., 7 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"15 просмотров, нет за сегодня","18,2 м²",,"18,2 м²",,,1 лоджия,Чистовая,26 пассажирских,,,
"Продается 1-комн. квартира, 28,11 м²",ЖК «Южный Форт»,"28,11 м²",16,20,2026,Не сдан,,Новостройка,"28,11 м²","2,74 м",,Монолитный,р-н Красносельский,62к1,3,"Юго-Западная, Автово, Ленинский проспект","6 мин., 8 мин., 8 мин.",ГК Лидер Групп,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"17 просмотров, 6 за сегодня",,,,,,,,6 грузовых,,,
"Продается 1-комн. квартира, 33,2 м²",ЖК «Аэросити 6»,"33,2 м²",12,12,2025,Сдан,,Новостройка,"33,2 м²","2,68 м",,Монолитный,р-н Пушкинский,5к2,3,"Купчино, Звездная, Шушары","10 мин., 11 мин., 13 мин.",ГК Лидер Групп,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Внутренний двор, Архитектура, Входная группа",,True,"48 просмотров, 5 за сегодня",,,,,,,,,,,Есть
"Продается 1-комн. квартира, 45,63 м²",ЖК «Квартал Заречье»,"45,63 м²",2,9,2026,Не сдан,,Новостройка,"45,63 м²","2,7 м",,Монолитный,р-н Колпинский,,3,"Рыбацкое, Пролетарская, Обухово","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"8 просмотров, нет за сегодня",,,,,,,,5 грузовых,,,Есть
"Продается студия, 25,55 м²",ЖК «Цивилизация на Неве»,"25,55 м²",2,18,2027,Не сдан,Предчистовая,Новостройка,"25,55 м²","2,97 м",Во двор,Монолитный,р-н Невский,,3,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","6 мин., 6 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"170 просмотров, нет за сегодня","11,4 м²",,"11,4 м²",,1 совмещенный,,Предчистовая,"1 пассажирский, 1 грузовой",,,Есть
"Продается 1-комн. квартира, 38,1 м²",ЖК «Пулково Лейк»,"38,1 м²",1,4,2026,Не сдан,Чистовая,Новостройка,"38,1 м²","2,6 м",Во двор,Панельный,р-н Пушкинский,,3,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"137 просмотров, 3 за сегодня","10,2 м²",19 м²,"10,2 м²",19 м²,1 раздельный,,Чистовая,"12 пассажирских, 1 грузовой",,,
"Продается 1-комн. квартира, 32,92 м²",ЖК «Южный Форт»,"32,92 м²",16,20,2026,Не сдан,,Новостройка,"32,92 м²","2,74 м",,Монолитный,р-н Красносельский,62к1,3,"Юго-Западная, Автово, Ленинский проспект","6 мин., 8 мин., 8 мин.",ГК Лидер Групп,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"20 просмотров, 4 за сегодня",,,,,,,,6 грузовых,,,
"Продается 1-комн. квартира, 42,22 м²",ЖК «Образцовый квартал 15»,"42,22 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"42,22 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,4к1,3,"Купчино, Звездная, Московская","20 мин., 17 мин., 21 мин.",,,,,,,,True,"9 просмотров, нет за сегодня","11,6 м²",18 м²,"11,6 м²",18 м²,1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 2-комн. квартира, 49,7 м²",ЖК «Цветной Город»,"49,7 м²",3,25,2026,Не сдан,Чистовая,Новостройка,"49,7 м²","2,55 м",Во двор,Монолитный,р-н Красногвардейский,2,3,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"319 просмотров, 7 за сегодня","24,6 м²","13,7 м²","24,6 м²","13,7 м²",1 раздельный,,Чистовая,3 грузовых,,"Чистовая, Чистовая с мебелью",
"Продается 2-комн. квартира, 54,5 м²",ЖК «Цветной Город»,"54,5 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"54,5 м²","2,55 м",Во двор,Монолитный,р-н Красногвардейский,2,3,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"579 просмотров, 7 за сегодня","25,6 м²","13,2 м²","25,6 м²","13,2 м²",1 раздельный,,Чистовая,3 грузовых,,"Чистовая, Чистовая с мебелью",
"Продается 1-комн. квартира, 37,52 м²",ЖК «Юнтолово»,"37,52 м²",12,23,2026,Не сдан,Чистовая,Новостройка,"37,52 м²",,На улицу и двор,Монолитный,р-н Приморский,1к3,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"41 просмотр, нет за сегодня","16,9 м²","11,1 м²","16,9 м²","11,1 м²",,1 лоджия,Чистовая,,,"Чистовая, Предчистовая",
"Продается 1-комн. квартира, 36,64 м²",ЖК «Парадный ансамбль»,"36,64 м²",2,5,2026,Не сдан,Чистовая,Новостройка,"36,64 м²",,,Монолитно-кирпичный,р-н Московский,,3,"Московская, Проспект Ветеранов, Дунайская","21 мин., 23 мин., 23 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"53 просмотра, нет за сегодня","10,7 м²","17,9 м²","10,7 м²","17,9 м²",,1 лоджия,Чистовая,3 грузовых,Подземная,,
"Продается 1-комн. квартира, 36,83 м²",ЖК «Univer City. Город возможностей»,"36,83 м²",4,4,2028,Не сдан,Чистовая,Новостройка,"36,83 м²","2,77 м",,Монолитный,р-н Пушкинский,,3,"Купчино, Шушары, Пролетарская","27 мин., 22 мин., 26 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"38 просмотров, нет за сегодня","17,1 м²","10,1 м²","17,1 м²","10,1 м²",,1 балкон,Чистовая,12 пассажирских,,"Чистовая с мебелью, Чистовая",Есть
"Продается 1-комн. квартира, 37,69 м²",ЖК «Любоград»,"37,69 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"37,69 м²","2,77 м",,Монолитно-кирпичный,р-н Петродворцовый,,3,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 17 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"4 просмотра, нет за сегодня","14,5 м²","14,1 м²","14,5 м²","14,1 м²",,,Чистовая,7 пассажирских,,,
"Продается 1-комн. квартира, 34,74 м²",ЖК «Дубровский»,"34,74 м²",1,4,2027,Не сдан,С отделкой,Новостройка,"34,74 м²",,,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Звездная, Шушары","24 мин., 25 мин., 27 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"20 просмотров, нет за сегодня","14,8 м²",12 м²,"14,8 м²",12 м²,,,С отделкой,,,"Чистовая, Предчистовая",
"Продается 1-комн. квартира, 34,28 м²",ЖК «Дубровский»,"34,28 м²",1,4,2027,Не сдан,С отделкой,Новостройка,"34,28 м²",,,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Звездная, Шушары","24 мин., 25 мин., 27 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"12 просмотров, нет за сегодня","15,2 м²","10,2 м²","15,2 м²","10,2 м²",,,С отделкой,,,"Чистовая, Предчистовая",
"Продается 1-комн. квартира, 36,28 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"36,28 м²",3,5,2027,Не сдан,Чистовая,Новостройка,"36,28 м²",,,Монолитный,р-н Пушкинский,,3,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"2 просмотра, нет за сегодня","12,1 м²","15,1 м²","12,1 м²","15,1 м²",,,Чистовая,,,,
"Продается студия, 20,4 м²",ЖК «Аурум»,"20,4 м²",9,15,2029,Не сдан,,Новостройка,"20,4 м²","2,74 м",,Монолитно-кирпичный,р-н Калининский,,3,"Лесная, Площадь Ленина, Выборгская","5 мин., 6 мин., 7 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"1 просмотр, нет за сегодня",,,,,,,,6 пассажирских,,,Есть
"Продается 1-комн. квартира, 42,66 м²",ЖК «Образцовый квартал 15»,"42,66 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"42,66 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,4к1,3,"Купчино, Звездная, Московская","20 мин., 17 мин., 21 мин.",,,,,,,,True,"2 просмотра, нет за сегодня","18,4 м²","11,7 м²","18,4 м²","11,7 м²",1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 1-комн. квартира, 31,44 м²",ЖК «Бионика Заповедная»,"31,44 м²",1,12,2027,Не сдан,Чистовая,Новостройка,"31,44 м²","2,77 м",,Монолитно-кирпичный,р-н Приморский,20к1,3,"Проспект Просвещения, Озерки, Удельная","12 мин., 13 мин., 13 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"53 просмотра, 2 за сегодня","10,3 м²","13,4 м²","10,3 м²","13,4 м²",,1 лоджия,Чистовая,"1 пассажирский, 1 грузовой",,,
"Продается 1-комн. квартира, 31,55 м²",ЖК «Окла (Okla)»,"31,55 м²",1,7,2027,Не сдан,,Новостройка,"31,55 м²",,,Монолитный,р-н Приморский,,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"9 просмотров, 2 за сегодня",,,,,,,,,,,
