title,residential_complex,char_total_area,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_высота_потолков,char_flat_вид_из_окон,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_living_area,char_площадь кухни,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_санузел,char_flat_балкон/лоджия,char_flat_отделка,char_building_количество_лифтов,char_building_парковка,hc_decoration_options,char_building_пандус
"Продается 1-комн. квартира, 37,08 м²",ЖК «Старлайт»,"37,08 м²",9,25,2027,Не сдан,,Новостройка,"37,08 м²","2,74 м",,Монолитный,р-н Красногвардейский,67,3,"Девяткино, Гражданский проспект, Академическая","22 мин., 6 мин., 11 мин.",ГК Лидер Групп,Комфорт,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"168 просмотров, 6 за сегодня",,,,,,,,"2 пассажирских, 8 грузовых",,,
"Продается 2-комн. квартира, 48,95 м²",ЖК «Меридиан Шушары»,"48,95 м²",7,12,2027,Не сдан,,Новостройка,"48,95 м²","2,7 м",,Монолитный,р-н Пушкинский,24к2,3,"Купчино, Звездная, Шушары","13 мин., 14 мин., 15 мин.",,,,,,,,False,"494 просмотра, 4 за сегодня",,,,,,,,8 грузовых,,,Есть
"Продается 1-комн. квартира, 43,28 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"43,28 м²",1,5,2026,Не сдан,Чистовая,Новостройка,"43,28 м²","2,89 м",На улицу и двор,Монолитный,р-н Московский,,3,"Московская, Проспект Ветеранов, Купчино","19 мин., 21 мин., 22 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"нет просмотров, нет за сегодня","17,1 м²","12,3 м²","17,1 м²","12,3 м²","1 совмещенный, 1 раздельный",,Чистовая,1 грузовой,,,
"Продается 1-комн. квартира, 49,7 м²",ЖК «Город-спутник Южный»,"49,7 м²",6,7,2027,Не сдан,Чистовая,Новостройка,"49,7 м²","2,7 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Московская, Проспект Ветеранов, Звездная","30 мин., 32 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"31 просмотр, нет за сегодня",,,,,,,Чистовая,2 пассажирских,,,
"Продается 1-комн. квартира, 36,4 м²",ЖК «Октябрьская набережная»,"36,4 м²",3,25,2027,Не сдан,Чистовая,Новостройка,"36,4 м²","2,56 м",Во двор,Монолитный,р-н Невский,,3,"Ломоносовская, Улица Дыбенко, Пролетарская","7 мин., 8 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"19 просмотров, нет за сегодня","13,4 м²","16,4 м²","13,4 м²","16,4 м²",1 совмещенный,,Чистовая,"1 пассажирский, 1 грузовой",,,
"Продается студия, 23,76 м²",ЖК «Квартал бизнес-класса Б15»,"23,76 м²",8,17,2026,Не сдан,С отделкой,Новостройка,"23,76 м²","2,73 м",,Монолитно-кирпичный,р-н Калининский,Б15 жилой квартал,3,"Лесная, Выборгская, Площадь Ленина","5 мин., 7 мин., 7 мин.",КВС,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"6 просмотров, нет за сегодня","10,9 м²",,"10,9 м²",,,,С отделкой,"11 пассажирских, 11 грузовых",,"Чистовая, Предчистовая",
"Продается 1-комн. квартира, 35,53 м²",ЖК «Ultra City 3.0 (Ультра Сити 3.0)»,"35,53 м²",3,17,2028,Не сдан,Предчистовая,Новостройка,"35,53 м²","2,75 м",,Монолитно-кирпичный,р-н Приморский,,3,"Комендантский проспект, Пионерская, Удельная","11 мин., 12 мин., 12 мин.",RBI,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"35 просмотров, нет за сегодня","11,1 м²","13,8 м²","11,1 м²","13,8 м²",,,Предчистовая,2 пассажирских,Наземная,,Есть
"Продается 2-комн. квартира, 58,15 м²",ЖК «UP-квартал Новый Московский»,"58,15 м²",6,10,2025,Сдан,Без отделки,Новостройка,"58,15 м²","3,3 м",На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Шушары, Звездная","21 мин., 16 мин., 17 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"130 просмотров, нет за сегодня","26,9 м²","16,9 м²","26,9 м²","16,9 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается 2-комн. квартира, 58,92 м²",ЖК «UP-квартал Новый Московский»,"58,92 м²",2,10,2025,Сдан,Без отделки,Новостройка,"58,92 м²","3,3 м",На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Шушары, Звездная","21 мин., 16 мин., 17 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"196 просмотров, 2 за сегодня",23 м²,"19,9 м²",23 м²,"19,9 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается 2-комн. квартира, 59,33 м²",ЖК «UP-квартал Новый Московский»,"59,33 м²",3,10,2025,Сдан,Без отделки,Новостройка,"59,33 м²","2,7 м",На улицу и двор,Монолитно-кирпичный,р-н Пушкинский,329к1,3,"Купчино, Шушары, Дунайская","22 мин., 16 мин., 21 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"100 просмотров, нет за сегодня","28,2 м²","16,9 м²","28,2 м²","16,9 м²",,,Без отделки,"1 пассажирский, 1 грузовой",,"Чистовая, Черновая, Без отделки",Есть
"Продается 1-комн. квартира, 34,57 м²",ЖК «Окла (Okla)»,"34,57 м²",3,7,2027,Не сдан,,Новостройка,"34,57 м²",,,Монолитный,р-н Приморский,,3,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"1 просмотр, нет за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 38,58 м²",ЖК «Юнтолово»,"38,58 м²",12,23,2026,Не сдан,Чистовая,Новостройка,"38,58 м²",,На улицу и двор,Монолитный,р-н Приморский,1к3,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"31 просмотр, нет за сегодня","11,3 м²",16 м²,"11,3 м²",16 м²,,1 лоджия,Чистовая,,,"Чистовая, Предчистовая",
