title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_балкон/лоджия,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_building_парковка,char_building_пандус,hc_decoration_options
"Продается 2-комн. квартира, 56,5 м²",ЖК «Аэросити 5»,"56,5 м²",,,11,12,2025,Сдан,,Новостройка,"56,5 м²",,,"2,72 м",,,,,2 пассажирских,Монолитный,р-н Пушкинский,3к2,3.0,"Купчино, Звездная, Шушары","11 мин., 11 мин., 14 мин.",ГК Лидер Групп,Комфорт,Монолитный,Подземная,Жилой комплекс,"Внутренний двор, Архитектура",,False,"28 просмотров, 5 за сегодня",Подземная,,
"Продается студия, 26,12 м²",ЖК «Приморский квартал»,"26,12 м²",,,2,25,2024,Сдан,,Новостройка,"26,12 м²",,,"2,74 м",,,,,"8 пассажирских, 11 грузовых",Монолитный,р-н Приморский,13к2,3.0,"Пионерская, Черная речка, Комендантский проспект","9 мин., 23 мин., 6 мин.",Мегалит–Охта Групп,Комфорт,"Монолитно-кирпичный, монолитный, блочный","Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"12 просмотров, 2 за сегодня",,Есть,
"Продается студия, 23,76 м²",ЖК «Приморский квартал»,"23,76 м²",,,6,25,2024,Сдан,,Новостройка,"23,76 м²",,,"2,74 м",,,,,"8 пассажирских, 11 грузовых",Монолитный,р-н Приморский,13к2,3.0,"Пионерская, Черная речка, Комендантский проспект","9 мин., 23 мин., 6 мин.",Мегалит–Охта Групп,Комфорт,"Монолитно-кирпичный, монолитный, блочный","Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"10 просмотров, 2 за сегодня",,Есть,
"Продается 1-комн. квартира, 39 м²",ЖК «Академик»,39 м²,"15,3 м²","13,9 м²",5,12,2025,Не сдан,Без отделки,Новостройка,39 м²,"15,3 м²","13,9 м²",3 м,1 совмещенный,,Во двор,,,Монолитно-кирпичный,р-н Красногвардейский,,3.0,"Девяткино, Академическая, Гражданский проспект","9 мин., 12 мин., 12 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,True,"67 просмотров, 3 за сегодня",Подземная,,
"Продается 2-комн. квартира, 56,82 м²",ЖК «Квартал Заречье»,"56,82 м²",,,2,9,2027,Не сдан,,Новостройка,"56,82 м²",,,"2,7 м",,,,,5 грузовых,Монолитный,р-н Колпинский,71Д,3.0,"Рыбацкое, Пролетарская, Обухово","17 мин., 21 мин., 21 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"31 просмотр, нет за сегодня",,Есть,
"Продается студия, 23,89 м²",ЖК «Гранат»,"23,89 м²",,,2,13,2028,Не сдан,,Новостройка,"23,89 м²",,,"2,73 м",,,,,,Монолитно-кирпичный,р-н Фрунзенский,,3.0,"Бухарестская, Международная, Волковская","16 мин., 4 мин., 6 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"2 просмотра, нет за сегодня",,,
"Продается 2-комн. квартира, 60,61 м²",ЖК «Город-спутник Южный»,"60,61 м²",,,2,5,2027,Не сдан,Чистовая,Новостройка,"60,61 м²",,,3 м,,,,Чистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Пушкинский,,3.0,"Звездная, Купчино, Проспект Ветеранов","28 мин., 28 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"62 просмотра, нет за сегодня",,,
"Продается 1-комн. квартира, 31,9 м²",ЖК «Тайм Сквер»,"31,9 м²",,,10,13,2025,Сдан,,Новостройка,"31,9 м²",,,"2,74 м",,,,,,Монолитно-кирпичный,р-н Приморский,,3.0,"Комендантский проспект, Старая Деревня, Беговая","11 мин., 14 мин., 14 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"140 просмотров, 2 за сегодня",,,
"Продается 1-комн. квартира, 40,3 м²",ЖК «Академик»,"40,3 м²","13,7 м²","15,7 м²",10,12,2025,Сдан,Без отделки,Новостройка,"40,3 м²","13,7 м²","15,7 м²",3 м,,,,,,Монолитно-кирпичный,р-н Красногвардейский,142к1,3.0,"Девяткино, Академическая, Гражданский проспект","8 мин., 11 мин., 11 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,True,"208 просмотров, 1 за сегодня",Подземная,Есть,
"Продается 1-комн. квартира, 56,7 м²",ЖК «Квартал Заречье»,"56,7 м²",,,1,9,2027,Не сдан,,Новостройка,"56,7 м²",,,"2,7 м",,,,,5 грузовых,Монолитный,р-н Колпинский,,3.0,"Рыбацкое, Обухово, Пролетарская","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"5 просмотров, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 36,7 м²",ЖК «Морская миля»,"36,7 м²","11,6 м²","18,8 м²",2,23,2027,Не сдан,Чистовая,Новостройка,"36,7 м²","11,6 м²","18,8 м²","2,55 м",1 совмещенный,,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,р-н Красносельский,,3.0,"Автово, Юго-Западная, Кировский завод","6 мин., 18 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"100 просмотров, нет за сегодня",,,
"Продается студия, 29,22 м²",ЖК «Северный ветер»,"29,22 м²",16 м²,5 м²,5,16,2028,Не сдан,Предчистовая,Новостройка,"29,22 м²",16 м²,5 м²,"2,72 м",1 совмещенный,,Во двор,Предчистовая,"1 пассажирский, 2 грузовых",Монолитный,р-н Василеостровский,,3.0,"Приморская, Горный институт, Василеостровская","10 мин., 11 мин., 15 мин.",Брусника,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Входная группа",,True,"103 просмотра, нет за сегодня",,,
"Продается 3-комн. квартира, 57,3 м²",ЖК «Цветной Город»,"57,3 м²","32,2 м²","9,8 м²",21,23,2026,Не сдан,Чистовая,Новостройка,"57,3 м²","32,2 м²","9,8 м²","2,55 м",1 раздельный,"1 лоджия, 1 балкон",На улицу и двор,Чистовая,3 грузовых,Монолитный,р-н Красногвардейский,2,3.0,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"384 просмотра, 1 за сегодня",,,"Чистовая, Чистовая с мебелью"
"Продается 1-комн. квартира, 39,7 м²",ЖК «Монография»,"39,7 м²",,,2,12,2025,Сдан,,Новостройка,"39,7 м²",,,"2,72 м",,,,,30 пассажирских,Монолитный,р-н Пушкинский,14к1,3.0,"Звездная, Купчино, Шушары","10 мин., 13 мин., 13 мин.",Группа Эталон,Комфорт,Монолитный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"4 просмотра, 1 за сегодня",,Есть,
"Продается 2-комн. квартира, 56,08 м²",ЖК «Меридиан Шушары»,"56,08 м²",,,7,12,2027,Не сдан,,Новостройка,"56,08 м²",,,"2,7 м",,,,,8 грузовых,Монолитный,р-н Пушкинский,24к2,3.0,"Купчино, Звездная, Шушары","13 мин., 14 мин., 15 мин.",,,,,,,,False,"197 просмотров, 1 за сегодня",,Есть,
"Продается студия, 26,8 м²",ЖК «Аквилон ZALIVE (Аквилон ЗАЛИВ)»,"26,8 м²",,,4,13,2024,Сдан,,Новостройка,"26,8 м²",,,"2,7 м",,,,,"5 пассажирских, 10 грузовых",Монолитно-кирпичный,р-н Василеостровский,4,3.0,"Приморская, Горный институт, Василеостровская","8 мин., 9 мин., 17 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"13 просмотров, 1 за сегодня",,Есть,
"Продается 1-комн. квартира, 42,41 м²",ЖК «Кронфорт.Центральный»,"42,41 м²",12 м²,"17,6 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"42,41 м²",12 м²,"17,6 м²","3,04 м",,1 лоджия,На улицу и двор,Предчистовая,,Монолитный,р-н Кронштадтский,,,,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"77 просмотров, нет за сегодня",Подземная,,"Чистовая, Предчистовая, Без отделки"
"Продается 1-комн. квартира, 39,21 м²",ЖК «Окла (Okla)»,"39,21 м²",,,3,7,2027,Не сдан,,Новостройка,"39,21 м²",,,,,,,,,Монолитный,р-н Приморский,,3.0,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"8 просмотров, 2 за сегодня",,,
"Продается студия, 25,31 м²",ЖК «Аквилон Leaves (Аквилон Ливз)»,"25,31 м²",,,6,12,2025,Сдан,,Новостройка,"25,31 м²",,,"2,73 м",,,,,"8 пассажирских, 12 грузовых",Монолитно-кирпичный,р-н Московский,11к2,3.0,"Звездная, Купчино, Московская","22 мин., 8 мин., 9 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"4 просмотра, 1 за сегодня",,,
"Продается 1-комн. квартира, 37,4 м²",ЖК «Монография»,"37,4 м²",,,11,12,2025,Сдан,,Новостройка,"37,4 м²",,,"2,72 м",,,,,30 пассажирских,Монолитный,р-н Пушкинский,14к1,3.0,"Звездная, Купчино, Шушары","10 мин., 13 мин., 13 мин.",Группа Эталон,Комфорт,Монолитный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"3 просмотра, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 41 м²",ЖК «Клюква.Парк»,41 м²,,,2,12,2028,Не сдан,Без отделки,Новостройка,41 м²,,,"2,72 м",,,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"6 просмотров, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 41,88 м²",ЖК «Уют»,"41,88 м²",,,3,9,2026,Не сдан,,Новостройка,"41,88 м²",,,"2,8 м",,,,,3 грузовых,Монолитный,р-н Калининский,5к2,3.0,"Лесная, Площадь Ленина, Выборгская","7 мин., 8 мин., 9 мин.",,,,,,,,False,"62 просмотра, 1 за сегодня",,Есть,
"Продается студия, 24,6 м²",ЖК «Аквилон ZALIVE (Аквилон ЗАЛИВ)»,"24,6 м²",,,4,13,2024,Сдан,,Новостройка,"24,6 м²",,,"2,7 м",,,,,"1 пассажирский, 2 грузовых",Монолитно-кирпичный,р-н Василеостровский,5,3.0,"Приморская, Горный институт, Василеостровская","8 мин., 9 мин., 17 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"143 просмотра, нет за сегодня",,Есть,
"Продается студия, 32,4 м²",ЖК «Аквилон ZALIVE (Аквилон ЗАЛИВ)»,"32,4 м²",,,1,13,2025,Сдан,,Новостройка,"32,4 м²",,,"3,02 м",,,,,,Монолитно-кирпичный,р-н Василеостровский,6к1,3.0,"Приморская, Горный институт, Василеостровская","7 мин., 8 мин., 13 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"96 просмотров, 1 за сегодня",,,
"Продается студия, 24,8 м²",ЖК «Литера»,"24,8 м²","11,4 м²",5 м²,4,12,2027,Не сдан,Предчистовая,Новостройка,"24,8 м²","11,4 м²",5 м²,"2,74 м",,,,Предчистовая,,Монолитно-кирпичный,р-н Невский,,3.0,"Елизаровская, Ломоносовская, Площадь Александра Невского","6 мин., 5 мин., 6 мин.",RBI,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,False,"217 просмотров, 4 за сегодня",Подземная,,
"Продается 2-комн. квартира, 57,87 м²",ЖК «Квартал Заречье»,"57,87 м²",,,1,9,2027,Не сдан,,Новостройка,"57,87 м²",,,"2,7 м",,,,,5 грузовых,Монолитный,р-н Колпинский,,3.0,"Рыбацкое, Обухово, Пролетарская","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"2 просмотра, нет за сегодня",,Есть,
"Продается 2-комн. квартира, 58,3 м²",ЖК «Пейзажный квартал»,"58,3 м²","24,5 м²","19,7 м²",5,24,2026,Не сдан,Чистовая,Новостройка,"58,3 м²","24,5 м²","19,7 м²","2,55 м","1 совмещенный, 1 раздельный","1 лоджия, 1 балкон",На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Панельный,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","14 мин., 9 мин., 11 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура",,True,"1326 просмотров, 49 за сегодня",Многоуровневая,,
"Продается 1-комн. квартира, 41 м²",ЖК «Тайм Сквер»,41 м²,,,5,13,2024,Сдан,,Новостройка,41 м²,,,"2,74 м",,,,,,Монолитно-кирпичный,р-н Приморский,99,3.0,"Комендантский проспект, Старая Деревня, Беговая","8 мин., 11 мин., 13 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"135 просмотров, 4 за сегодня",,,
"Продается студия, 20,9 м²",ЖК «ЛСР. Измайловский»,"20,9 м²","10,7 м²",,2,11,2027,Не сдан,Предчистовая,Новостройка,"20,9 м²","10,7 м²",,"2,5 м",1 совмещенный,,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,р-н Адмиралтейский,,3.0,"Балтийская, Технологический институт, Фрунзенская","14 мин., 11 мин., 12 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Гостевая,Жилой комплекс,"Внутренний двор, Архитектура",,True,"558 просмотров, 10 за сегодня",,Есть,
"Продается 1-комн. квартира, 39,3 м²",ЖК «Монография»,"39,3 м²",,,3,12,2025,Сдан,,Новостройка,"39,3 м²",,,"2,72 м",,,,,30 пассажирских,Монолитный,р-н Пушкинский,14к1,3.0,"Звездная, Купчино, Шушары","10 мин., 13 мин., 13 мин.",Группа Эталон,Комфорт,Монолитный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"нет просмотров, нет за сегодня",,Есть,
"Продается студия, 24,46 м²",ЖК «Астра Континенталь»,"24,46 м²","18,2 м²",,2,12,2028,Не сдан,Чистовая,Новостройка,"24,46 м²","18,2 м²",,"2,77 м",,1 лоджия,,Чистовая,"23 пассажирских, 23 грузовых",Монолитно-кирпичный,р-н Невский,,3.0,"Елизаровская, Площадь Александра Невского, Обводный канал","16 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"83 просмотра, 4 за сегодня",Подземная,,
"Продается 1-комн. квартира, 43,16 м²",ЖК «Любоград»,"43,16 м²","13,8 м²","17,1 м²",2,4,2027,Не сдан,Чистовая,Новостройка,"43,16 м²","13,8 м²","17,1 м²","2,77 м",,,,Чистовая,7 пассажирских,Монолитно-кирпичный,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 17 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"50 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 43,47 м²",ЖК «Кронфорт.Центральный»,"43,47 м²","14,9 м²","19,1 м²",2,4,2026,Не сдан,Предчистовая,Новостройка,"43,47 м²","14,9 м²","19,1 м²","3,04 м",,,На улицу и двор,Предчистовая,,Монолитный,р-н Кронштадтский,,,,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"594 просмотра, нет за сегодня",Подземная,,"Чистовая, Предчистовая, Без отделки"
"Продается 2-комн. квартира, 70,51 м²",ЖК «UP-квартал Новый Московский»,"70,51 м²","31,1 м²",18 м²,2,10,2027,Не сдан,Без отделки,Новостройка,"70,51 м²","31,1 м²",18 м²,"2,72 м",,,На улицу и двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Пушкинский,,3.0,"Шушары, Дунайская, Проспект Славы","16 мин., 21 мин., 22 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"20 просмотров, нет за сегодня",,Есть,"Чистовая, Черновая, Без отделки"
"Продается 1-комн. квартира, 37,41 м²",ЖК «Ultra City 3.0 (Ультра Сити 3.0)»,"37,41 м²",10 м²,"16,6 м²",12,17,2027,Не сдан,Предчистовая,Новостройка,"37,41 м²",10 м²,"16,6 м²","2,75 м",,,,Предчистовая,4 пассажирских,Монолитно-кирпичный,р-н Приморский,,3.0,"Комендантский проспект, Пионерская, Старая Деревня","11 мин., 12 мин., 12 мин.",RBI,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"56 просмотров, нет за сегодня",Наземная,Есть,
"Продается 2-комн. квартира, 59,2 м²",ЖК «Смарт»,"59,2 м²",,,7,11,2025,Сдан,,Новостройка,"59,2 м²",,,"2,6 м",,,,,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,р-н Пушкинский,19к2,3.0,"Шушары, Купчино, Звездная","14 мин., 14 мин., 15 мин.",ИСК Вита,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"381 просмотр, 4 за сегодня",,,
"Продается 1-комн. квартира, 41,68 м²",ЖК «Окла (Okla)»,"41,68 м²",,,7,25,2027,Не сдан,,Новостройка,"41,68 м²",,,"2,7 м",,,,,2 грузовых,Монолитный,р-н Приморский,,3.0,"Проспект Просвещения, Парнас, Озерки","10 мин., 11 мин., 11 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"9 просмотров, 4 за сегодня",,,
"Продается 1-комн. квартира, 43,33 м²",ЖК «Окла (Okla)»,"43,33 м²",,,2,25,2027,Не сдан,,Новостройка,"43,33 м²",,,"2,7 м",,,,,2 грузовых,Монолитный,р-н Приморский,,3.0,"Проспект Просвещения, Парнас, Озерки","10 мин., 11 мин., 11 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"18 просмотров, 3 за сегодня",,,
"Продается 2-комн. квартира, 39,34 м²",ЖК «Окла (Okla)»,"39,34 м²",,,2,7,2027,Не сдан,,Новостройка,"39,34 м²",,,,,,,,,Монолитный,р-н Приморский,,3.0,"Проспект Просвещения, Озерки, Парнас","11 мин., 11 мин., 12 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"14 просмотров, 3 за сегодня",,,
"Продается студия, 27,96 м²",ЖК «Аквилон Leaves (Аквилон Ливз)»,"27,96 м²",,,3,12,2025,Сдан,,Новостройка,"27,96 м²",,,"2,73 м",,,,,"8 пассажирских, 12 грузовых",Монолитно-кирпичный,р-н Московский,11к2,3.0,"Звездная, Купчино, Московская","22 мин., 8 мин., 9 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"нет просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 56,71 м²",ЖК «UP-квартал Новый Московский»,"56,71 м²","29,4 м²","13,2 м²",2,10,2025,Сдан,Чистовая,Новостройка,"56,71 м²","29,4 м²","13,2 м²","3,3 м",,,На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Пушкинский,,3.0,"Купчино, Шушары, Звездная","21 мин., 16 мин., 17 мин.",ГК ФСК,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"369 просмотров, 1 за сегодня",,Есть,"Чистовая, Черновая, Без отделки"
"Продается студия, 26,1 м²",ЖК «Аквилон ZALIVE (Аквилон ЗАЛИВ)»,"26,1 м²",,,8,13,2024,Сдан,,Новостройка,"26,1 м²",,,"2,7 м",,,,,"5 пассажирских, 10 грузовых",Монолитно-кирпичный,р-н Василеостровский,4,3.0,"Приморская, Горный институт, Василеостровская","8 мин., 9 мин., 17 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"3 просмотра, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 47,4 м²",ЖК «Шекспир»,"47,4 м²",,,3,25,2021,Сдан,,Новостройка,"47,4 м²",,,"2,65 м",,,,,,Монолитно-кирпичный,р-н Выборгский,18,3.0,"Проспект Просвещения, Гражданский проспект, Озерки","5 мин., 7 мин., 8 мин.",Л1 строительная компания №1,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Внутренний двор, Архитектура",,False,"26 просмотров, 4 за сегодня",,,
"Продается студия, 27,99 м²",ЖК «Приморский квартал»,"27,99 м²",,,16,25,2024,Сдан,,Новостройка,"27,99 м²",,,"2,74 м",,,,,"8 пассажирских, 11 грузовых",Монолитный,р-н Приморский,13к2,3.0,"Пионерская, Черная речка, Комендантский проспект","9 мин., 23 мин., 6 мин.",Мегалит–Охта Групп,Комфорт,"Монолитно-кирпичный, монолитный, блочный","Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"19 просмотров, 7 за сегодня",,Есть,
"Продается 1-комн. квартира, 41 м²",ЖК «Лайнеръ»,41 м²,,,13,17,2025,Сдан,,Новостройка,41 м²,,,,,,,,"2 пассажирских, 2 грузовых",Монолитно-кирпичный,Октябрьская наб.,,3.0,"Ломоносовская, Пролетарская, Обухово","7 мин., 8 мин., 8 мин.",,,,,,,,False,"8 просмотров, нет за сегодня",,Есть,
"Продается 2-комн. квартира, 59,04 м²",ЖК «Квартал Заречье»,"59,04 м²",,,5,9,2027,Не сдан,,Новостройка,"59,04 м²",,,"2,7 м",,,,,5 грузовых,Монолитный,р-н Колпинский,71Д,3.0,"Рыбацкое, Пролетарская, Обухово","17 мин., 21 мин., 21 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"5 просмотров, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 37,55 м²",ЖК «Морская миля»,"37,55 м²","11,9 м²","19,2 м²",8,23,2027,Не сдан,Чистовая,Новостройка,"37,55 м²","11,9 м²","19,2 м²","2,55 м",1 совмещенный,,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,р-н Красносельский,,3.0,"Автово, Юго-Западная, Кировский завод","6 мин., 18 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"71 просмотр, нет за сегодня",,,
"Продается 1-комн. квартира, 44,8 м²",ЖК «Пулково Лейк»,"44,8 м²","11,1 м²","17,2 м²",1,4,2026,Не сдан,Чистовая,Новостройка,"44,8 м²","11,1 м²","17,2 м²","2,6 м",1 раздельный,,Во двор,Чистовая,"12 пассажирских, 1 грузовой",Панельный,р-н Пушкинский,,3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"87 просмотров, 1 за сегодня",,,
"Продается 1-комн. квартира, 38,99 м²",ЖК «Ultra City 3.0 (Ультра Сити 3.0)»,"38,99 м²","10,4 м²","18,1 м²",5,17,2028,Не сдан,Предчистовая,Новостройка,"38,99 м²","10,4 м²","18,1 м²","2,75 м",,,,Предчистовая,2 пассажирских,Монолитно-кирпичный,р-н Приморский,,3.0,"Комендантский проспект, Пионерская, Удельная","11 мин., 12 мин., 12 мин.",RBI,Комфорт,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"3 просмотра, нет за сегодня",Наземная,Есть,
"Продается студия, 33 м²",ЖК «Аквилон ZALIVE (Аквилон ЗАЛИВ)»,33 м²,,,1,13,2024,Сдан,,Новостройка,33 м²,,,"2,7 м",,,,,"8 пассажирских, 16 грузовых",Монолитно-кирпичный,р-н Василеостровский,5,3.0,"Приморская, Горный институт, Спортивная","7 мин., 8 мин., 13 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"73 просмотра, 2 за сегодня",,Есть,
