title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_балкон/лоджия,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_building_парковка,char_building_пандус,hc_decoration_options
"Продается студия, 29,61 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"29,61 м²",,,2,17,2027,Не сдан,Без отделки,Новостройка,"29,61 м²",,,"2,85 м",,,На улицу,,,Монолитно-кирпичный,р-н Московский,13ВА,3.0,"Звездная, Купчино, Московская","18 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, 1 за сегодня",,,
"Продается 1-комн. квартира, 41,8 м²",ЖК «Шекспир»,"41,8 м²",,,9,25,2021,Сдан,,Новостройка,"41,8 м²",,,"2,65 м",,,,,,Монолитно-кирпичный,р-н Выборгский,18,3.0,"Проспект Просвещения, Гражданский проспект, Озерки","5 мин., 7 мин., 8 мин.",Л1 строительная компания №1,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Внутренний двор, Архитектура",,False,"152 просмотра, 9 за сегодня",,,
"Продается 1-комн. квартира, 27,29 м²",ЖК «НИГИЛИСТ»,"27,29 м²","7,7 м²",,8,13,2028,Не сдан,Предчистовая,Новостройка,"27,29 м²","7,7 м²",,"2,74 м",,,,Предчистовая,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,р-н Фрунзенский,,3.0,"Бухарестская, Международная, Волковская","12 мин., 20 мин., 6 мин.",ГК «Bau City Development»,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"137 просмотров, 9 за сегодня",,,"Чистовая, Предчистовая, Без отделки"
"Продается 1-комн. квартира, 34,8 м²",ЖК «Бионика Заповедная»,"34,8 м²","10,4 м²","16,7 м²",1,12,2026,Не сдан,Чистовая,Новостройка,"34,8 м²","10,4 м²","16,7 м²","2,77 м",,1 лоджия,,Чистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Приморский,20к2,3.0,"Проспект Просвещения, Парнас, Озерки","12 мин., 13 мин., 13 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"19 просмотров, 1 за сегодня",,,
"Продается 1-комн. квартира, 37,55 м²",ЖК «Бионика Заповедная»,"37,55 м²",18 м²,10 м²,2,12,2026,Не сдан,Чистовая,Новостройка,"37,55 м²",18 м²,10 м²,"2,77 м",,1 лоджия,,Чистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Приморский,,3.0,"Проспект Просвещения, Озерки, Удельная","12 мин., 13 мин., 14 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"68 просмотров, 4 за сегодня",,,
"Продается 1-комн. квартира, 33,87 м²",ЖК «Юнтолово»,"33,87 м²","9,9 м²","14,7 м²",7,23,2026,Не сдан,Чистовая,Новостройка,"33,87 м²","9,9 м²","14,7 м²",,,1 лоджия,На улицу и двор,Чистовая,2 грузовых,Монолитный,р-н Приморский,1к1,3.0,"Беговая, Старая Деревня, Черная речка","13 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"26 просмотров, 1 за сегодня",,Есть,"Чистовая, Предчистовая"
"Продается 3-комн. квартира, 56,2 м²",ЖК «Аэросити 4»,"56,2 м²",,,7,12,2025,Сдан,,Новостройка,"56,2 м²",,,"2,72 м",,,,,,Монолитный,р-н Пушкинский,3к1,3.0,"Купчино, Звездная, Шушары","11 мин., 11 мин., 14 мин.",ГК Лидер Групп,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Внутренний двор, Архитектура",,True,"1454 просмотра, 17 за сегодня",,Есть,
"Продается 1-комн. квартира, 47,61 м²",ЖК «Образцовый квартал 15»,"47,61 м²","16,4 м²","15,2 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"47,61 м²","16,4 м²","15,2 м²","2,87 м",1 совмещенный,1 балкон,,Предчистовая,1 пассажирский,Монолитно-кирпичный,р-н Пушкинский,6к1,3.0,"Купчино, Звездная, Московская","20 мин., 21 мин., 22 мин.",,,,,,,,True,"39 просмотров, нет за сегодня",Наземная,,
"Продается 2-комн. квартира, 57,04 м²",ЖК «Город-спутник Южный»,"57,04 м²",,,2,10,2027,Не сдан,Чистовая,Новостройка,"57,04 м²",,,"2,7 м",1 раздельный,1 балкон,,Чистовая,4 пассажирских,Монолитно-кирпичный,р-н Пушкинский,,3.0,"Московская, Проспект Ветеранов, Звездная","30 мин., 32 мин., 28 мин.",ЗАСТРОЙ,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Архитектура, Входная группа, Лифт",,False,"37 просмотров, 1 за сегодня",,,
"Продается 2-комн. квартира, 55,2 м²",ЖК «Цветной Город»,"55,2 м²","27,3 м²","15,3 м²",6,21,2026,Не сдан,Чистовая,Новостройка,"55,2 м²","27,3 м²","15,3 м²","2,55 м",1 раздельный,1 балкон,На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","19 мин., 15 мин., 15 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,"Панельный, монолитный","Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"159 просмотров, нет за сегодня",,,"Чистовая, Чистовая с мебелью"
