title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_вид_из_окон,char_flat_отделка,char_building_тип_дома,char_building_парковка,district,building,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_decoration_options,hc_advantages,developer_description,online_booking,views,char_building_количество_лифтов,metro_count,metro_names,metro_times,char_flat_санузел,char_flat_балкон/лоджия,char_building_пандус
"Продается 1-комн. квартира, 35,67 м²",ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"35,67 м²","15,7 м²",,5,5,2024,Не сдан,Предчистовая,Новостройка,"35,67 м²","15,7 м²",,"2,65 м",,Предчистовая,Монолитный,,р-н Курортный,18,,,,,,"Чистовая, Предчистовая",,,True,"175 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Беговая, Комендантский проспект, Зенит","30 мин., 29 мин., 30 мин.",,,
"Продается 3-комн. квартира, 170,21 м²",ЖК «17/33 Петровский остров»,"170,21 м²","41,6 м²",,7,8,2026,Не сдан,Без отделки,Новостройка,"170,21 м²","41,6 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"576 просмотров, 2 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 3-комн. квартира, 98,77 м²",ЖК «Башни Элемент»,"98,77 м²","35,7 м²",,16,18,2028,Не сдан,Предчистовая,Новостройка,"98,77 м²","35,7 м²",,5 м,,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"804 просмотра, 2 за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","9 мин., 11 мин., 13 мин.",,,
"Продается 1-комн. квартира, 32 м²",ЖК «Дыбенко Парк»,32 м²,"10,3 м²","14,5 м²",4,21,2027,Не сдан,Чистовая,Новостройка,32 м²,"10,3 м²","14,5 м²","2,75 м",На улицу и двор,Чистовая,Монолитный,Многоуровневая,р-н Невский,38Б,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"283 просмотра, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Проспект Большевиков, Ломоносовская","16 мин., 7 мин., 9 мин.",1 совмещенный,,
"Продается 2-комн. квартира, 108,38 м²",ЖК «17/33 Петровский остров»,"108,38 м²","37,2 м²",,5,8,2026,Не сдан,Без отделки,Новостройка,"108,38 м²","37,2 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"415 просмотров, 1 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается студия, 24,37 м²",ЖК «Башни Элемент»,"24,37 м²","16,5 м²",,5,22,2028,Не сдан,Предчистовая,Новостройка,"24,37 м²","16,5 м²",,"2,85 м",,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"491 просмотр, 4 за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","10 мин., 13 мин., 14 мин.",,,
"Продается 3-комн. квартира, 141,1 м²",ЖК «Клубный дом Манхэттен»,"141,1 м²",,,4,7,2024,Сдан,Черновая,Новостройка,"141,1 м²",,,3 м,,Черновая,Монолитно-кирпичный,,р-н Василеостровский,50,Винтеко,Премиум,Монолитно-кирпичный,Подземная,Клубный дом,Черновая,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"542 просмотра, 1 за сегодня",,3.0,"Василеостровская, Горный институт, Спортивная","9 мин., 18 мин., 18 мин.",,,
"Продается квартира свободной планировки, 132,85 м²",ЖК «17/33 Петровский остров»,"132,85 м²","88,6 м²",,7,8,2026,Не сдан,Без отделки,Новостройка,"132,85 м²","88,6 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"358 просмотров, нет за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 2-комн. квартира, 58,89 м²",ЖК «Коллекционный Дом 1919»,"58,89 м²",22 м²,,6,11,2025,Сдан,Предчистовая,Новостройка,"58,89 м²",22 м²,,3 м,,Предчистовая,Монолитный,,р-н Московский,3,Element,Премиум,Монолитный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"40 просмотров, 1 за сегодня",1 грузовой,3.0,"Московские ворота, Электросила, Фрунзенская","6 мин., 21 мин., 23 мин.",,,
"Продается 2-комн. квартира, 68,22 м²",ЖК «Башни Элемент»,"68,22 м²","28,8 м²",,4,18,2028,Не сдан,Предчистовая,Новостройка,"68,22 м²","28,8 м²",,"3,01 м",,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"27 просмотров, нет за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","9 мин., 11 мин., 13 мин.",,,
