title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_вид_из_окон,char_flat_отделка,char_building_тип_дома,char_building_парковка,district,building,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_decoration_options,hc_advantages,developer_description,online_booking,views,char_building_количество_лифтов,metro_count,metro_names,metro_times,char_flat_санузел,char_flat_балкон/лоджия,char_building_пандус
"Продается 2-комн. квартира, 46,76 м²",ЖК «Кронфорт.Центральный»,"46,76 м²","21,2 м²","11,8 м²",3,4,2026,Не сдан,Чистовая,Новостройка,"46,76 м²","21,2 м²","11,8 м²","3,04 м",На улицу и двор,Чистовая,Монолитный,Подземная,р-н Кронштадтский,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая, Без отделки","Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"5683 просмотра, 35 за сегодня",,,,,,,
"Продается 2-комн. квартира, 56,65 м²",ЖК «Шепилевский (Shepilevskiy)»,"56,65 м²","23,5 м²",,10,24,2025,Не сдан,Предчистовая,Новостройка,"56,65 м²","23,5 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,39,Element,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"1661 просмотр, 51 за сегодня","2 пассажирских, 2 грузовых",3.0,"Московская, Звездная, Ленинский проспект","9 мин., 25 мин., 6 мин.",,,
"Продается студия, 24,55 м²",ЖК «Кронфорт.Центральный»,"24,55 м²","12,2 м²",,2,4,2026,Не сдан,Чистовая,Новостройка,"24,55 м²","12,2 м²",,"3,04 м",На улицу и двор,Чистовая,Монолитный,Подземная,р-н Кронштадтский,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая, Без отделки","Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"4987 просмотров, 13 за сегодня",,,,,,,
"Продается 2-комн. квартира, 55 м²",ЖК «Лермонтовский 54»,55 м²,"18,6 м²","16,4 м²",3,9,2025,Не сдан,Без отделки,Новостройка,55 м²,"18,6 м²","16,4 м²",3 м,На улицу,Без отделки,Монолитный,Открытая,р-н Адмиралтейский,169,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"201 просмотр, 14 за сегодня","1 пассажирский, 1 грузовой",3.0,"Балтийская, Фрунзенская, Технологический институт","4 мин., 17 мин., 23 мин.",2 совмещенных,1 балкон,
"Продается 2-комн. квартира, 52,3 м²",ЖК «Avant (Авант)»,"52,3 м²",21 м²,"16,9 м²",3,9,2027,Не сдан,Черновая,Новостройка,"52,3 м²",21 м²,"16,9 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"512 просмотров, 24 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается многокомнатная квартира, 251,3 м²",ЖК «Моисеенко 10»,"251,3 м²","70,5 м²",,9,9,2028,Не сдан,Без отделки,Новостройка,"251,3 м²","70,5 м²",,"3,2 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"25512 просмотров, 40 за сегодня",,3.0,"Площадь Восстания, Чернышевская, Маяковская","21 мин., 22 мин., 24 мин.",,,Есть
"Продается 4-комн. квартира, 96,7 м²",ЖК «Avant (Авант)»,"96,7 м²","77,2 м²","14,5 м²",6,8,2026,Не сдан,Черновая,Новостройка,"96,7 м²","77,2 м²","14,5 м²","2,98 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"81 просмотр, 9 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 43,03 м²",ЖК «Цивилизация на Неве»,"43,03 м²","20,3 м²","12,9 м²",15,18,2027,Не сдан,Предчистовая,Новостройка,"43,03 м²","20,3 м²","12,9 м²","2,82 м",Во двор,Предчистовая,Монолитный,,р-н Невский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"1030 просмотров, 13 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","6 мин., 6 мин., 8 мин.",1 раздельный,1 лоджия,Есть
"Продается 1-комн. квартира, 35,03 м²",ЖК «17 линия»,"35,03 м²","15,3 м²","11,3 м²",4,10,2028,Не сдан,Предчистовая,Новостройка,"35,03 м²","15,3 м²","11,3 м²","2,73 м",,Предчистовая,Монолитный,,р-н Василеостровский,,,,,,,"Чистовая, Предчистовая",,,False,"959 просмотров, 9 за сегодня","7 пассажирских, 11 грузовых",3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",1 совмещенный,1 балкон,
"Продается 2-комн. квартира, 53,75 м²",ЖК «Коллекционный Дом 1919»,"53,75 м²",24 м²,,4,11,2025,Сдан,Предчистовая,Новостройка,"53,75 м²",24 м²,,3 м,,Предчистовая,Монолитный,,р-н Московский,3,Element,Премиум,Монолитный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"495 просмотров, 9 за сегодня",1 грузовой,3.0,"Московские ворота, Электросила, Фрунзенская","6 мин., 21 мин., 23 мин.",,,
"Продается 1-комн. квартира, 34,31 м²",ЖК «Шепилевский (Shepilevskiy)»,"34,31 м²","9,9 м²",,12,24,2025,Не сдан,Предчистовая,Новостройка,"34,31 м²","9,9 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,39,Element,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"233 просмотра, 12 за сегодня","2 пассажирских, 2 грузовых",3.0,"Московская, Звездная, Ленинский проспект","9 мин., 25 мин., 6 мин.",,,
"Продается 3-комн. квартира, 168,24 м²",ЖК «Шепилевский (Shepilevskiy)»,"168,24 м²","42,9 м²",,24,24,2025,Не сдан,Предчистовая,Новостройка,"168,24 м²","42,9 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,39,Element,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"385 просмотров, 8 за сегодня","2 пассажирских, 2 грузовых",3.0,"Московская, Звездная, Ленинский проспект","9 мин., 25 мин., 6 мин.",,,
"Продается 4-комн. квартира, 271,34 м²",ЖК «17/33 Петровский остров»,"271,34 м²","72,8 м²",,3,8,2026,Не сдан,Без отделки,Новостройка,"271,34 м²","72,8 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"108 просмотров, 5 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 4-комн. квартира, 119,85 м²",ЖК «Дом на Курской»,"119,85 м²",60 м²,36 м²,9,10,2028,Не сдан,Предчистовая,Новостройка,"119,85 м²",60 м²,36 м²,"2,73 м",,Предчистовая,Монолитно-кирпичный,,р-н Фрунзенский,27,,,,,,,,,True,"1259 просмотров, 6 за сегодня",8 пассажирских,3.0,"Обводный канал, Лиговский проспект, Звенигородская","8 мин., 16 мин., 24 мин.",,,
"Продается 4-комн. квартира, 128,88 м²",ЖК «Avant (Авант)»,"128,88 м²","62,1 м²","29,6 м²",7,9,2027,Не сдан,Черновая,Новостройка,"128,88 м²","62,1 м²","29,6 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"593 просмотра, 13 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается студия, 24,8 м²",ЖК «Моисеенко 10»,"24,8 м²","10,7 м²",,3,6,2028,Не сдан,Без отделки,Новостройка,"24,8 м²","10,7 м²",,"3,2 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"621 просмотр, 18 за сегодня",4 пассажирских,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается студия, 65,4 м²",ЖК «Amo (Амо)»,"65,4 м²","27,2 м²",,1,7,2024,Сдан,Черновая,Новостройка,"65,4 м²","27,2 м²",,3 м,,Черновая,Монолитный,Подземная,р-н Василеостровский,41к2,Холдинг AAG,Премиум,Монолитный,Подземная,Жилой комплекс,Черновая,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"423 просмотра, 8 за сегодня",,3.0,"Василеостровская, Спортивная, Горный институт","9 мин., 16 мин., 20 мин.",,,
"Продается студия, 25,57 м²",ЖК «Avant (Авант)»,"25,57 м²","20,5 м²",,6,8,2026,Не сдан,Черновая,Новостройка,"25,57 м²","20,5 м²",,"2,98 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"94 просмотра, 6 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 4-комн. квартира, 161,24 м²",ЖК «17/33 Петровский остров»,"161,24 м²","63,4 м²",,5,8,2026,Не сдан,Без отделки,Новостройка,"161,24 м²","63,4 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"1101 просмотр, 4 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 4-комн. квартира, 413,1 м²",ЖК «17/33 Петровский остров»,"413,1 м²","116,5 м²",,5,8,2026,Не сдан,Без отделки,Новостройка,"413,1 м²","116,5 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"1530 просмотров, 6 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 1-комн. квартира, 37,6 м²",ЖК «Коллекционный Дом 1919»,"37,6 м²","11,6 м²",,7,11,2025,Сдан,Предчистовая,Новостройка,"37,6 м²","11,6 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,3,Element,Премиум,Монолитный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"246 просмотров, 3 за сегодня",1 грузовой,3.0,"Московские ворота, Электросила, Фрунзенская","6 мин., 21 мин., 23 мин.",,,
"Продается 1-комн. квартира, 36,25 м²",ЖК «Кронфорт.Центральный»,"36,25 м²","14,4 м²","12,2 м²",3,4,2026,Не сдан,Предчистовая,Новостройка,"36,25 м²","14,4 м²","12,2 м²","3,04 м",На улицу и двор,Предчистовая,Монолитный,Подземная,р-н Кронштадтский,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая, Без отделки","Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"16976 просмотров, 20 за сегодня",,,,,,1 лоджия,
"Продается 2-комн. квартира, 57,9 м²",ЖК «Нева Резиденс»,"57,9 м²","26,2 м²","17,7 м²",7,8,2024,Сдан,Без отделки,Новостройка,"57,9 м²","26,2 м²","17,7 м²","3,15 м",Во двор,Без отделки,Монолитный,Подземная,р-н Петроградский,15,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Гостевая,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"1971 просмотр, 10 за сегодня",1 пассажирский,3.0,"Спортивная, Василеостровская, Чкаловская","4 мин., 4 мин., 5 мин.",1 раздельный,1 балкон,
"Продается 3-комн. квартира, 145,19 м²",ЖК «Шепилевский (Shepilevskiy)»,"145,19 м²",41 м²,,22,24,2025,Не сдан,Предчистовая,Новостройка,"145,19 м²",41 м²,,3 м,,Предчистовая,Монолитный,,р-н Московский,39,Element,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"345 просмотров, 17 за сегодня","2 пассажирских, 2 грузовых",3.0,"Московская, Звездная, Ленинский проспект","9 мин., 25 мин., 6 мин.",,,
"Продается 2-комн. квартира, 53,6 м²",ЖК «Пулково Лейк»,"53,6 м²","22,4 м²","14,9 м²",2,4,2027,Не сдан,Чистовая,Новостройка,"53,6 м²","22,4 м²","14,9 м²","2,75 м",Во двор,Чистовая,Панельный,Наземная,р-н Пушкинский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"670 просмотров, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",2 совмещенных,,
"Продается 3-комн. квартира, 89,56 м²",ЖК «Кронфорт.Центральный»,"89,56 м²","17,3 м²",,2,4,2026,Не сдан,Без отделки,Новостройка,"89,56 м²","17,3 м²",,"3,04 м",На улицу и двор,Без отделки,Монолитный,Подземная,р-н Кронштадтский,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая, Без отделки","Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"2330 просмотров, 6 за сегодня",,,,,,1 лоджия,
"Продается 1-комн. квартира, 33,8 м²",ЖК «Октябрьская набережная»,"33,8 м²","11,5 м²","16,2 м²",7,25,2026,Не сдан,Чистовая,Новостройка,"33,8 м²","11,5 м²","16,2 м²","2,55 м",На улицу,,Монолитный,,просп. Большевиков,,,,,,,,,,False,"461 просмотр, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Ломоносовская, Пролетарская, Улица Дыбенко","6 мин., 7 мин., 8 мин.",1 совмещенный,,
"Продается 2-комн. квартира, 79,8 м²",ЖК «Amo (Амо)»,"79,8 м²","26,3 м²","7,8 м²",5,7,2024,Сдан,Черновая,Новостройка,"79,8 м²","26,3 м²","7,8 м²",3 м,,Черновая,Монолитный,Подземная,р-н Василеостровский,41к2,Холдинг AAG,Премиум,Монолитный,Подземная,Жилой комплекс,Черновая,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"381 просмотр, 12 за сегодня",,3.0,"Василеостровская, Спортивная, Горный институт","9 мин., 16 мин., 20 мин.",,,
"Продается 3-комн. квартира, 72 м²",ЖК «Нева Резиденс»,72 м²,"35,3 м²","17,8 м²",7,8,2024,Сдан,Без отделки,Новостройка,72 м²,"35,3 м²","17,8 м²","3,15 м",Во двор,Без отделки,Монолитный,Подземная,р-н Петроградский,15,ЛСР. Недвижимость-Северо-Запад,Премиум,Монолитный,Гостевая,Жилой комплекс,Без отделки,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"1622 просмотра, 3 за сегодня",1 пассажирский,3.0,"Крестовский остров, Спортивная, Чкаловская","4 мин., 20 мин., 21 мин.","1 совмещенный, 1 раздельный",1 лоджия,
"Продается 1-комн. квартира, 34,7 м²",ЖК «Лермонтовский 54»,"34,7 м²",10 м²,"17,2 м²",2,9,2025,Не сдан,Без отделки,Новостройка,"34,7 м²",10 м²,"17,2 м²",3 м,На улицу,Без отделки,Монолитный,Открытая,р-н Адмиралтейский,169,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"200 просмотров, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Балтийская, Фрунзенская, Технологический институт","5 мин., 16 мин., 22 мин.",1 совмещенный,,
"Продается 4-комн. квартира, 111,28 м²",ЖК «Башни Элемент»,"111,28 м²","52,7 м²",,10,18,2028,Не сдан,Предчистовая,Новостройка,"111,28 м²","52,7 м²",,"3,01 м",,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"1246 просмотров, 2 за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","9 мин., 11 мин., 13 мин.",,,
"Продается 2-комн. квартира, 53,08 м²",ЖК «Юнтолово»,"53,08 м²",16 м²,"22,3 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"53,08 м²",16 м²,"22,3 м²",,На улицу и двор,Чистовая,Монолитный,,р-н Приморский,1к4,Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Чистовая, Предчистовая",Отделка,,True,"1792 просмотра, 22 за сегодня",1 грузовой,3.0,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",,,Есть
"Продается 3-комн. квартира, 109,17 м²",ЖК «17/33 Петровский остров»,"109,17 м²","45,6 м²",,3,8,2026,Не сдан,Без отделки,Новостройка,"109,17 м²","45,6 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"1393 просмотра, нет за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 1-комн. квартира, 38,8 м²",ЖК «Моисеенко 10»,"38,8 м²","10,5 м²",,4,6,2028,Не сдан,Без отделки,Новостройка,"38,8 м²","10,5 м²",,"3,2 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"705 просмотров, 3 за сегодня",4 пассажирских,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается 3-комн. квартира, 80 м²",ЖК «Лермонтовский 54»,80 м²,"39,7 м²","18,8 м²",3,9,2025,Не сдан,Без отделки,Новостройка,80 м²,"39,7 м²","18,8 м²",3 м,На улицу,Без отделки,Монолитный,Открытая,р-н Адмиралтейский,169,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"86 просмотров, 5 за сегодня","2 пассажирских, 14 грузовых",3.0,"Балтийская, Фрунзенская, Технологический институт","4 мин., 17 мин., 23 мин.",2 совмещенных,1 балкон,
"Продается 2-комн. квартира, 52,5 м²",ЖК «Витебский парк»,"52,5 м²","24,4 м²","16,3 м²",6,12,2028,Не сдан,Предчистовая,Новостройка,"52,5 м²","24,4 м²","16,3 м²","2,68 м",На улицу,Предчистовая,Монолитный,Открытая,р-н Фрунзенский,,ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Парковка, Внутренний двор, Входная группа, Лифт",,True,"679 просмотров, 15 за сегодня",2 пассажирских,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.","1 совмещенный, 1 раздельный",1 балкон,
"Продается 2-комн. квартира, 64,8 м²",ЖК «Морская набережная. SeaView»,"64,8 м²","28,6 м²","19,8 м²",17,17,2025,Сдан,Предчистовая,Новостройка,"64,8 м²","28,6 м²","19,8 м²","3,2 м",Во двор,Предчистовая,Монолитный,Подземная,р-н Василеостровский,3к1,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"129 просмотров, 4 за сегодня",1 пассажирский,3.0,"Приморская, Горный институт, Василеостровская","8 мин., 9 мин., 14 мин.",1 раздельный,1 лоджия,Есть
"Продается 1-комн. квартира, 37,99 м²",ЖК «Цивилизация на Неве»,"37,99 м²","14,5 м²","13,8 м²",3,18,2027,Не сдан,Предчистовая,Новостройка,"37,99 м²","14,5 м²","13,8 м²","2,82 м",На улицу и двор,Предчистовая,Монолитный,,р-н Невский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"507 просмотров, 13 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.","1 совмещенный, 1 раздельный",,Есть
"Продается 3-комн. квартира, 152,1 м²",ЖК «Amo (Амо)»,"152,1 м²","21,9 м²","22,5 м²",1,7,2024,Сдан,Черновая,Новостройка,"152,1 м²","21,9 м²","22,5 м²",3 м,,Черновая,Монолитный,Подземная,р-н Василеостровский,41к2,Холдинг AAG,Премиум,Монолитный,Подземная,Жилой комплекс,Черновая,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"452 просмотра, 5 за сегодня",,3.0,"Василеостровская, Спортивная, Горный институт","9 мин., 16 мин., 20 мин.",,,
"Продается 3-комн. квартира, 106,37 м²",ЖК «Сампсониевский 32»,"106,37 м²","37,8 м²","34,1 м²",3,10,2026,Не сдан,Предчистовая,Новостройка,"106,37 м²","37,8 м²","34,1 м²","2,7 м",На улицу и двор,Предчистовая,Монолитный,,р-н Выборгский,,LEGENDA Intelligent Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,,Архитектура,,False,"667 просмотров, 2 за сегодня","1 пассажирский, 1 грузовой",3.0,"Выборгская, Площадь Ленина, Петроградская","11 мин., 22 мин., 5 мин.","1 совмещенный, 1 раздельный",,
"Продается 3-комн. квартира, 66,3 м²",ЖК «Пулково Лейк»,"66,3 м²","32,8 м²","17,9 м²",3,4,2026,Не сдан,Чистовая,Новостройка,"66,3 м²","32,8 м²","17,9 м²","2,6 м",Во двор,Чистовая,Панельный,,р-н Пушкинский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"673 просмотра, 2 за сегодня","12 пассажирских, 1 грузовой",3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.","1 совмещенный, 1 раздельный",1 лоджия,
"Продается 3-комн. квартира, 84,9 м²",ЖК «Морская набережная. SeaView»,"84,9 м²","43,4 м²","19,1 м²",13,14,2025,Сдан,Без отделки,Новостройка,"84,9 м²","43,4 м²","19,1 м²","2,87 м",На улицу и двор,Без отделки,Монолитный,Подземная,р-н Василеостровский,3к1,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"895 просмотров, 5 за сегодня",1 пассажирский,3.0,"Приморская, Горный институт, Василеостровская","8 мин., 10 мин., 15 мин.","1 совмещенный, 1 раздельный",2 лоджии,Есть
"Продается 3-комн. квартира, 112,71 м²",ЖК «Коллекционный Дом 1919»,"112,71 м²","34,6 м²",,11,11,2025,Сдан,Предчистовая,Новостройка,"112,71 м²","34,6 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,3,Element,Премиум,Монолитный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"170 просмотров, 3 за сегодня",1 грузовой,3.0,"Московские ворота, Электросила, Фрунзенская","6 мин., 21 мин., 23 мин.",,,
"Продается 2-комн. квартира, 93,45 м²",ЖК «Avant (Авант)»,"93,45 м²","26,8 м²","36,6 м²",5,9,2027,Не сдан,Черновая,Новостройка,"93,45 м²","26,8 м²","36,6 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"107 просмотров, 3 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается студия, 19,71 м²",ЖК «Цивилизация на Неве»,"19,71 м²","8,3 м²",,2,18,2027,Не сдан,Предчистовая,Новостройка,"19,71 м²","8,3 м²",,"2,82 м",Во двор,Предчистовая,Монолитный,,р-н Невский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"535 просмотров, 6 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.",1 совмещенный,,Есть
"Продается квартира свободной планировки, 573,09 м²",ЖК «17/33 Петровский остров»,"573,09 м²","328,5 м²",,7,8,2026,Не сдан,Без отделки,Новостройка,"573,09 м²","328,5 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"2240 просмотров, 2 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается 1-комн. квартира, 37,6 м²",ЖК «ЛСР. Измайловский»,"37,6 м²","14,4 м²","15,3 м²",2,11,2027,Не сдан,Предчистовая,Новостройка,"37,6 м²","14,4 м²","15,3 м²","2,5 м",Во двор,Предчистовая,Монолитный,,р-н Адмиралтейский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Гостевая,Жилой комплекс,,"Внутренний двор, Архитектура",,True,"2199 просмотров, 5 за сегодня","1 пассажирский, 1 грузовой",3.0,"Балтийская, Технологический институт, Фрунзенская","14 мин., 11 мин., 12 мин.",1 совмещенный,,Есть
